"station_complex_id","station","borough","nta2020","nta_ratio","in_hi","in_six","entries","d_rr","d_rr18","d_rr21","team_score","y_250","y_250_no_top1","y_250_no_subloc","y_400","y_400_no_top1","y_400_no_subloc","y_600","y_600_no_top1","y_600_no_subloc","pop_250","pop_400","pop_600","area_km2_250","area_km2_400","area_km2_600"
344,"Kingston Av (3)","Brooklyn","BK0901",0.524776707042881,FALSE,FALSE,1018975,512.178785353152,2228.18578665776,3114.52177220356,51.9339622641509,2,2,2,4,4,4,6,6,6,4727.93417396787,11735.3987688304,19248.6807625493,0.196259835910979,0.487256803334434,0.797431131800143
345,"Crown Hts-Utica Av (3,4)","Brooklyn","BK0901",0.524776707042881,FALSE,FALSE,5424987,74.5427643260846,2949.81209927529,3713.2854942576,53.1014150943396,11,3,11,17,9,17,17,9,17,6334.74331341724,15859.5061055205,27995.2844736014,0.196259835911085,0.501356189080177,0.947976085551797
346,"Sutter Av-Rutland Rd (3)","Brooklyn","BK1602",0.560883056221366,FALSE,FALSE,1394873,460.015327415951,3616.57958539276,4297.46329409766,43.561320754717,1,1,1,2,2,2,2,2,2,3744.20460881322,9975.52952167185,20283.4583923809,0.196259835911028,0.477062733720575,0.883154743833884
347,"Saratoga Av (3)","Brooklyn","BK1602",0.560883056221366,FALSE,FALSE,1083464,171.934953544678,4075.71116006936,4698.82105218775,22.1933962264151,0,0,0,0,0,0,0,0,0,3951.53706614821,9491.54149211852,16550.2031297429,0.196259835911117,0.450141118023547,0.7295582859082
348,"Rockaway Av (3)","Brooklyn","BK1602",0.560883056221366,FALSE,FALSE,1005649,248.284072598723,4710.89877714419,5334.748486494,23.4905660377358,1,1,1,1,1,1,1,1,1,4437.65117418006,9612.23682732131,15022.810304004,0.19625983591106,0.428045757829902,0.664530763942795
349,"Junius St (3)","Brooklyn","BK1602",0.560883056221366,FALSE,FALSE,567425,261.359855509602,5165.95253076005,5893.4358704334,13.9150943396226,2,2,2,2,2,2,2,2,2,2689.89281798574,4817.99622515332,5134.46028075193,0.139646377347435,0.241143853851456,0.253815303358565
350,"Pennsylvania Av (3)","Brooklyn","BK0503",0.289396446117287,FALSE,FALSE,810381,503.579714316814,4686.91923247458,6543.45383416146,46.7099056603774,1,1,1,1,1,1,1,1,1,4839.74012129625,8486.48738196575,10407.7675097957,0.194196984616351,0.35615406493815,0.442770095106776
351,"Van Siclen Av (3)","Brooklyn","BK0503",0.289396446117287,FALSE,FALSE,511745,229.301918832155,4366.46339652164,7016.89214406752,10.9433962264151,1,1,1,2,2,2,3,3,3,4014.74265678869,7031.21399132443,8545.956587568,0.192073485775604,0.350396871215632,0.462280342270626
352,"New Lots Av (3)","Brooklyn","BK0503",0.289396446117287,FALSE,FALSE,1164508,206.069028768965,4084.46523929373,7474.98072035374,25.6014150943396,1,1,1,1,1,1,2,2,2,3771.47507547742,7749.24347238157,12343.4534115298,0.193471470255025,0.423906596411938,0.73076943076344
353,"President St-Medgar Evers College (2,5)","Brooklyn","BK0901",0.524776707042881,FALSE,FALSE,814732,492.490077000204,1564.30449053511,2479.17883916565,31.3797169811321,0,0,0,0,0,0,0,0,0,4032.90818051928,7197.89961836312,8146.62587559644,0.15096278415039,0.287858335120918,0.330844957190765
