"nta2020","ntaname","six","ratio","complaints","evening_complaints","thin","stations_in","stations_400","hotspots","hotspot_complaints","hotspot_params","restrooms","restrooms_open_14","restrooms_open_18_off","restrooms_open_18_in","restrooms_open_21","stations_in_off_14","stations_400_off_14","hotspots_off_14","complaints_off_14","complaints_evening_off_14","stations_in_off_18","stations_400_off_18","hotspots_off_18","complaints_off_18","complaints_evening_off_18","stations_in_off_21","stations_400_off_21","hotspots_off_21","complaints_off_21","complaints_evening_off_21","stations_in_in_14","stations_400_in_14","hotspots_in_14","complaints_in_14","complaints_evening_in_14","stations_in_in_18","stations_400_in_18","hotspots_in_18","complaints_in_18","complaints_evening_in_18","stations_in_in_21","stations_400_in_21","hotspots_in_21","complaints_in_21","complaints_evening_in_21","stations_in_off_14_wmean","stations_400_off_14_wmean","hotspots_off_14_wmean","complaints_off_14_wmean","complaints_evening_off_14_wmean","stations_in_off_18_wmean","stations_400_off_18_wmean","hotspots_off_18_wmean","complaints_off_18_wmean","complaints_evening_off_18_wmean","stations_in_off_21_wmean","stations_400_off_21_wmean","hotspots_off_21_wmean","complaints_off_21_wmean","complaints_evening_off_21_wmean","stations_in_in_14_wmean","stations_400_in_14_wmean","hotspots_in_14_wmean","complaints_in_14_wmean","complaints_evening_in_14_wmean","stations_in_in_18_wmean","stations_400_in_18_wmean","hotspots_in_18_wmean","complaints_in_18_wmean","complaints_evening_in_18_wmean","stations_in_in_21_wmean","stations_400_in_21_wmean","hotspots_in_21_wmean","complaints_in_21_wmean","complaints_evening_in_21_wmean"
"BK0201","Brooklyn Heights",FALSE,2.11,24,8,TRUE,1,7,1,9,"eps150_min5",9,7,2,5,2,3.29,3.29,1.45,1.98,2.36,8.4,11.85,1.45,6.59,8.15,8.4,11.85,1.45,6.59,8.15,3.29,3.29,1.45,1.98,2.36,3.29,4.24,1.45,2.42,5.49,8.4,11.85,1.45,6.59,8.15,3.29,4.32,1.45,2.51,3.14,8.4,12.48,1.45,5.83,6.68,8.4,13.23,1.45,5.83,6.68,3.29,4.32,1.45,2.51,3.14,3.29,5.34,1.45,4,5.14,8.4,13.23,1.45,5.83,6.68
"SI0106","Port Richmond",FALSE,2.09,8,3,TRUE,0,0,0,0,"none (no cluster at minPts 4)",3,3,0,2,0,NA,NA,NA,6.92,4.79,NA,NA,NA,34.19,35.13,NA,NA,NA,107.1,106.84,NA,NA,NA,6.92,4.79,NA,NA,NA,8.03,7,NA,NA,NA,107.1,106.84,NA,NA,NA,6.55,5.01,NA,NA,NA,36.05,36.39,NA,NA,NA,106.94,104.43,NA,NA,NA,6.55,5.01,NA,NA,NA,9.09,6.95,NA,NA,NA,106.94,104.43
"QN0705","East Flushing",FALSE,2.07,10,5,TRUE,0,0,0,0,"none (no cluster at minPts 4)",2,2,1,2,0,NA,NA,NA,10.7,8.82,NA,NA,NA,17.09,21.14,NA,NA,NA,41.59,41.51,NA,NA,NA,10.7,8.82,NA,NA,NA,12.26,12.97,NA,NA,NA,41.59,41.51,NA,NA,NA,9.33,8.93,NA,NA,NA,18.62,20.11,NA,NA,NA,38.21,36.9,NA,NA,NA,9.33,8.93,NA,NA,NA,10.63,11.51,NA,NA,NA,38.21,36.9
"QN1401","Far Rockaway-Bayswater",FALSE,1.98,50,27,FALSE,3,4,1,44,"eps150_min5",8,8,1,7,1,5.26,4.36,3.16,3.36,3.36,16.14,18.44,18.54,18.65,18.65,16.14,18.44,18.54,18.65,18.65,5.26,4.36,3.16,3.36,3.36,7.5,6.38,7.96,7.79,7.79,16.14,18.44,18.54,18.65,18.65,4.39,4.13,3.16,3.35,3.23,16.49,17.62,18.54,18.03,18.57,16.49,17.62,18.54,18.03,18.57,4.39,4.13,3.16,3.35,3.23,11,10.18,7.96,7.82,7.83,16.49,17.62,18.54,18.03,18.57
"BK0703","Sunset Park (Central)",FALSE,1.97,30,15,FALSE,1,8,2,19,"eps150_min5",1,1,0,1,0,5.79,6.47,2.65,4.52,4.86,35.69,37.21,38.6,39.76,39.76,54.75,51.84,38.6,39.76,39.76,5.79,6.47,2.65,4.52,4.86,5.79,7.09,2.65,4.74,4.86,54.75,51.84,38.6,39.76,39.76,5.79,7.02,3.7,4.82,4.92,35.69,39.69,38.17,40.11,39.24,54.75,50.11,38.17,42.64,42.45,5.79,7.02,3.7,4.82,4.92,5.79,7.7,3.7,5.35,4.92,54.75,50.11,38.17,42.64,42.45
"QN1206","Hollis",FALSE,1.96,9,4,TRUE,0,0,0,0,"none (no cluster at minPts 4)",3,3,0,2,0,NA,NA,NA,8.19,8.72,NA,NA,NA,23.23,18.64,NA,NA,NA,23.23,18.64,NA,NA,NA,8.19,8.72,NA,NA,NA,8.19,8.72,NA,NA,NA,23.23,18.64,NA,NA,NA,6.91,8.07,NA,NA,NA,21.19,19.88,NA,NA,NA,21.19,19.88,NA,NA,NA,6.91,8.07,NA,NA,NA,6.91,8.07,NA,NA,NA,21.19,19.88
"MN0502","Midtown-Times Square",TRUE,1.93,84,14,FALSE,10,20,5,43,"eps150_min5",14,14,9,12,6,4.88,3.34,5.36,4.53,5.24,4.88,4.22,5.69,5.42,5.37,8.66,8.66,6.86,7.93,9.29,4.88,3.34,5.36,4.53,5.24,4.88,3.81,5.36,4.53,5.37,8.66,8.66,6.86,7.93,9.29,4.68,3.21,5.19,4.17,4.23,5.3,4.02,6.21,5.16,4.79,10.07,8.45,7.67,7.83,8.9,4.68,3.21,5.19,4.17,4.23,4.7,3.57,5.19,4.25,4.48,10.07,8.45,7.67,7.83,8.9
"MN0301","Chinatown-Two Bridges",FALSE,1.82,27,5,TRUE,1,6,2,13,"eps150_min5",6,6,1,6,0,2.24,3.45,3.8,2.43,2.83,2.24,6.31,3.8,3.47,3.47,18.04,20.04,14.19,15.99,18.91,2.24,3.45,3.8,2.43,2.83,2.24,3.45,3.8,2.43,2.83,18.04,20.04,14.19,15.99,18.91,2.24,4.06,3.19,2.69,2.57,2.24,7.02,3.19,3.62,4.22,18.04,18.1,15.8,16.42,18.95,2.24,4.06,3.19,2.69,2.57,2.24,4.06,3.19,2.69,2.57,18.04,18.1,15.8,16.42,18.95
"MN0203","West Village",FALSE,1.78,60,22,FALSE,2,7,2,52,"eps150_min5",11,11,6,10,4,4.16,3.69,4,2.5,2.4,4.33,7.12,4,4.78,4.96,10.69,9.42,10.58,10.08,9.23,4.16,3.69,4,2.5,2.4,4.16,3.97,4,2.7,2.89,10.69,9.42,10.58,10.08,9.23,3.82,3.92,3.64,2.55,2.51,4.07,6.03,4.09,5,5.32,11.49,9.49,9.91,9.04,8.43,3.82,3.92,3.64,2.55,2.51,3.82,4.14,3.64,2.65,2.74,11.49,9.49,9.91,9.04,8.43
"QN0402","Corona",FALSE,1.75,54,23,FALSE,1,3,4,37,"eps150_min5",7,7,1,6,0,0.34,4.95,2.17,3.17,3.9,0.34,8.12,3.8,8.33,8.87,23.4,23.4,25.03,25.01,26.08,0.34,4.95,2.17,3.17,3.9,0.34,4.95,2.17,3.17,3.9,23.4,23.4,25.03,25.01,26.08,0.34,4.68,2.1,3.41,3.82,0.34,5.6,4.96,7.85,8.4,23.4,23.37,23.79,25.39,25.49,0.34,4.68,2.1,3.41,3.82,0.34,4.68,2.1,3.41,3.82,23.4,23.37,23.79,25.39,25.49
"MN0102","Tribeca-Civic Center",FALSE,1.72,58,17,FALSE,6,10,4,42,"eps150_min5",3,3,2,3,1,4.1,4.27,6.29,5.57,6.2,4.1,4.5,10.53,6.89,7.33,10.38,10.38,11.58,10.87,10.1,4.1,4.27,6.29,5.57,6.2,4.1,4.27,6.29,5.57,6.2,10.38,10.38,11.58,10.87,10.1,3.96,3.41,5.43,4.88,5.77,4.11,4.41,8.06,7.21,7.8,10.81,10.63,10.63,10.34,9.58,3.96,3.41,5.43,4.88,5.77,3.96,3.41,5.43,4.88,5.77,10.81,10.63,10.63,10.34,9.58
"QN1403","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel",FALSE,1.71,17,6,TRUE,3,4,2,12,"eps150_min5",5,5,0,4,0,4.61,4.85,36.3,15.06,9.63,29.72,24.78,65.44,45.56,36.79,87.28,85.34,65.44,76.53,82.82,4.61,4.85,36.3,15.06,9.63,4.61,4.85,36.3,15.06,9.63,87.28,85.34,65.44,76.53,82.82,5.97,5.75,22.87,19.15,16.72,28.66,24.35,49.8,46.61,43.37,87.09,86.15,75.35,77.21,79.14,5.97,5.75,22.87,19.15,16.72,9.52,8.4,22.87,19.15,16.72,87.09,86.15,75.35,77.21,79.14
"QN0203","Woodside",FALSE,1.71,47,23,FALSE,4,6,3,23,"eps150_min5",4,4,0,3,0,5.96,5.14,4.85,5.01,7.18,43.41,41.3,43.15,41.94,40.35,51.16,51.16,50.04,52.21,48.98,5.96,5.14,4.85,5.01,7.18,6.11,6.01,4.85,5.45,7.18,51.16,51.16,50.04,52.21,48.98,7.12,6.48,5.75,5.24,5.89,45.33,38.04,40.65,42.06,40.59,53.43,48.14,50.21,53,51.05,7.12,6.48,5.75,5.24,5.89,7.28,6.63,5.75,5.42,5.95,53.43,48.14,50.21,53,51.05
"BK0401","Bushwick (West)",FALSE,1.68,51,27,FALSE,4,10,2,14,"eps150_min5",4,4,0,3,0,5.68,5.56,1.42,5.22,6.63,44.81,42.33,40.81,42.32,42.32,47.61,47.61,40.81,44.76,44.76,5.68,5.56,1.42,5.22,6.63,5.68,5.56,1.42,5.48,6.63,47.61,47.61,40.81,44.76,44.76,5.9,5.43,5.11,5.21,6.13,45.23,43.41,41.78,43.32,44.74,46.29,47.37,42.16,45.72,46.5,5.9,5.43,5.11,5.21,6.13,5.9,5.6,5.11,5.5,6.26,46.29,47.37,42.16,45.72,46.5
"BK0204","Clinton Hill",FALSE,1.67,22,4,TRUE,3,5,2,10,"eps150_min5",5,5,0,4,0,4.8,4.76,0.61,3.12,2.54,14.14,14.14,14.51,15.1,17.95,40.31,40.31,39.9,40.87,36.29,4.8,4.76,0.61,3.12,2.54,4.8,4.76,0.61,3.26,2.54,40.31,40.31,39.9,40.87,36.29,3.65,3.42,2.47,2.75,2.37,16.12,14.57,14.57,16.29,17.81,41.58,41.29,41.85,39.69,36.59,3.65,3.42,2.47,2.75,2.37,3.65,3.83,2.47,2.8,2.37,41.58,41.29,41.85,39.69,36.59
"SI0101","St. George-New Brighton",FALSE,1.66,5,2,TRUE,0,0,0,0,"none (no cluster at minPts 4)",2,2,1,2,0,NA,NA,NA,4.11,7.19,NA,NA,NA,4.11,12.68,NA,NA,NA,86.11,86.97,NA,NA,NA,4.11,7.19,NA,NA,NA,4.11,7.19,NA,NA,NA,86.11,86.97,NA,NA,NA,5.33,7.19,NA,NA,NA,7.52,12.68,NA,NA,NA,86.44,86.97,NA,NA,NA,5.33,7.19,NA,NA,NA,5.33,7.19,NA,NA,NA,86.44,86.97
"SI0102","Tompkinsville-Stapleton-Clifton-Fox Hills",FALSE,1.65,4,2,TRUE,0,0,0,0,"none (no cluster at minPts 4)",2,2,1,2,0,NA,NA,NA,7.12,6.23,NA,NA,NA,7.12,6.23,NA,NA,NA,71.34,68.67,NA,NA,NA,7.12,6.23,NA,NA,NA,7.12,6.23,NA,NA,NA,71.34,68.67,NA,NA,NA,7.58,6.23,NA,NA,NA,7.58,6.23,NA,NA,NA,70,68.67,NA,NA,NA,7.58,6.23,NA,NA,NA,7.58,6.23,NA,NA,NA,70,68.67
"BK0701","Windsor Terrace-South Slope",FALSE,1.64,14,4,TRUE,2,4,1,4,"eps150_min4 (fallback)",4,4,1,3,1,3.4,4.48,7.66,7.5,7.01,12.13,16.72,29.7,15.74,14.3,12.13,16.72,34.37,16.32,14.99,3.4,4.48,7.66,7.5,7.01,3.4,4.48,7.66,7.5,7.01,12.13,16.72,34.37,16.32,14.99,3.44,4.27,7.66,6.13,6.96,12.22,17.24,29.7,18.55,15.59,12.22,18.22,34.37,20.34,17.17,3.44,4.27,7.66,6.13,6.96,3.44,4.27,7.66,6.13,6.96,12.22,18.22,34.37,20.34,17.17
"BX0102","Melrose",FALSE,1.55,16,8,TRUE,3,5,1,7,"eps150_min5",5,5,0,4,0,3.74,3.74,5.16,5.24,5.36,18.03,18.03,14.85,13.97,15.44,35.63,35.63,35.76,35.52,35.85,3.74,3.74,5.16,5.24,5.36,4.26,4.26,5.16,5.24,5.36,35.63,35.63,35.76,35.52,35.85,4.49,4.1,5.16,4.61,4.53,13.38,13.79,14.85,13.59,15.63,35.36,35.37,35.76,35.38,35.81,4.49,4.1,5.16,4.61,4.53,4.59,4.17,5.16,4.61,4.53,35.36,35.37,35.76,35.38,35.81
