"nta2020","ntaname","six","scenario","hour","measure","n_origins","weight_total","median_min","wmean_min","share_over_500m","weighting"
"SI0202","New Dorp-Midland Beach",FALSE,"off_season",21,"stations_400",0,0,NA,NA,NA,"2025 entries"
"SI0202","New Dorp-Midland Beach",FALSE,"off_season",21,"hotspots",0,0,NA,NA,NA,"complaints in hot spot"
"SI0202","New Dorp-Midland Beach",FALSE,"off_season",21,"complaints",15,15,57.09,52.42,1,"none (each complaint = 1)"
"SI0202","New Dorp-Midland Beach",FALSE,"off_season",21,"complaints_evening",4,4,43.59,44.75,1,"none (each complaint = 1)"
"SI0202","New Dorp-Midland Beach",FALSE,"in_season",14,"stations_in",0,0,NA,NA,NA,"2025 entries"
"SI0202","New Dorp-Midland Beach",FALSE,"in_season",14,"stations_400",0,0,NA,NA,NA,"2025 entries"
"SI0202","New Dorp-Midland Beach",FALSE,"in_season",14,"hotspots",0,0,NA,NA,NA,"complaints in hot spot"
"SI0202","New Dorp-Midland Beach",FALSE,"in_season",14,"complaints",15,15,6.35,6.94,0.27,"none (each complaint = 1)"
"SI0202","New Dorp-Midland Beach",FALSE,"in_season",14,"complaints_evening",4,4,4.97,4.69,0,"none (each complaint = 1)"
"SI0202","New Dorp-Midland Beach",FALSE,"in_season",18,"stations_in",0,0,NA,NA,NA,"2025 entries"
"SI0202","New Dorp-Midland Beach",FALSE,"in_season",18,"stations_400",0,0,NA,NA,NA,"2025 entries"
"SI0202","New Dorp-Midland Beach",FALSE,"in_season",18,"hotspots",0,0,NA,NA,NA,"complaints in hot spot"
"SI0202","New Dorp-Midland Beach",FALSE,"in_season",18,"complaints",15,15,6.35,6.94,0.27,"none (each complaint = 1)"
"SI0202","New Dorp-Midland Beach",FALSE,"in_season",18,"complaints_evening",4,4,4.97,4.69,0,"none (each complaint = 1)"
"SI0202","New Dorp-Midland Beach",FALSE,"in_season",21,"stations_in",0,0,NA,NA,NA,"2025 entries"
"SI0202","New Dorp-Midland Beach",FALSE,"in_season",21,"stations_400",0,0,NA,NA,NA,"2025 entries"
"SI0202","New Dorp-Midland Beach",FALSE,"in_season",21,"hotspots",0,0,NA,NA,NA,"complaints in hot spot"
"SI0202","New Dorp-Midland Beach",FALSE,"in_season",21,"complaints",15,15,57.09,52.42,1,"none (each complaint = 1)"
"SI0202","New Dorp-Midland Beach",FALSE,"in_season",21,"complaints_evening",4,4,43.59,44.75,1,"none (each complaint = 1)"
"BK1002","Dyker Heights",FALSE,"off_season",14,"stations_in",0,0,NA,NA,NA,"2025 entries"
"BK1002","Dyker Heights",FALSE,"off_season",14,"stations_400",4,6972276,11.18,9.57,0.58,"2025 entries"
"BK1002","Dyker Heights",FALSE,"off_season",14,"hotspots",1,5,15.93,15.93,1,"complaints in hot spot"
"BK1002","Dyker Heights",FALSE,"off_season",14,"complaints",16,16,7.51,8.48,0.5,"none (each complaint = 1)"
"BK1002","Dyker Heights",FALSE,"off_season",14,"complaints_evening",3,3,9.75,10.13,0.67,"none (each complaint = 1)"
"BK1002","Dyker Heights",FALSE,"off_season",18,"stations_in",0,0,NA,NA,NA,"2025 entries"
"BK1002","Dyker Heights",FALSE,"off_season",18,"stations_400",4,6972276,33.46,33.25,1,"2025 entries"
"BK1002","Dyker Heights",FALSE,"off_season",18,"hotspots",1,5,31.52,31.52,1,"complaints in hot spot"
"BK1002","Dyker Heights",FALSE,"off_season",18,"complaints",16,16,28.63,26.93,1,"none (each complaint = 1)"
"BK1002","Dyker Heights",FALSE,"off_season",18,"complaints_evening",3,3,17.9,19.62,1,"none (each complaint = 1)"
"BK1002","Dyker Heights",FALSE,"off_season",21,"stations_in",0,0,NA,NA,NA,"2025 entries"
"BK1002","Dyker Heights",FALSE,"off_season",21,"stations_400",4,6972276,49.44,49.88,1,"2025 entries"
"BK1002","Dyker Heights",FALSE,"off_season",21,"hotspots",1,5,46.56,46.56,1,"complaints in hot spot"
"BK1002","Dyker Heights",FALSE,"off_season",21,"complaints",16,16,47.27,49.32,1,"none (each complaint = 1)"
