"prop_id","cs_id","long_term_closure","reason_closed","winterized","reason_winterized"
"X112","1961",,,,
"X113","1962",,,,
"X115","1963",,,,
"X116","1964",,,,
"X118-02","1965",,,,
"X121","1966",,,,
"X122","1967",,,,
"X123","1968",,,,
"X124","1969",,,,
"X131","1970",,,,
"X136-01","1971",,,,
"X141","1972",,,,
"X146","1973",,,,
"X148L","1974",,,,
"X148M1","1975",,,,
"X150J-01","1976",,,,
"X151","1977",,,,
"X152","1978",,,,
"X156","1979",,,,
"X157","1980",,,,
"X159","1981",,,,
"X160","1982",,,,
"X161","1983",,,,
"X162","1984",,,,
"X163","1985",,,,
"X165","1986",,,,
"X166","1987",,,"Yes","No heat"
"X168","1988",,,,
"X169","1989",,,,
"X170","1990",,,,
"X171","1991",,,,
"X172","1992",,,,
"X174","1993",,,,
"X175","1994",,,,
"X176","1995",,,,
"X177","1996",,,,
"X178","1997",,,,
"X179","1998",,,,
"X182","1999",,,,
"X187-01","2000",,,,
"X188","2001",,,,
"X190","2002",,,,
"X193","2003",,,,
"X194","2004",,,,
"X196-02","2005",,,,
"X197","2006",,,,
"X200","2007",,,,
"X201-01","2008",,,,
"X202","2009",,,,
"X203","2010",,,,
"X204","2011",,,,
"X214","2012",,,,
"X216","2013",,,,
"X217","2014",,,,
"X219","2015",,,,
"X221","2016",,,,
"X222","2017",,,,
"X232","2018",,,,
"X235","2019",,,,
"X255","2020",,,,
"X263","2021",,,,
"X266","2022",,,"Yes","No heat"
"X307","2024",,,,
"X344","2025",,,,
"B305","2029",,,,
"Q304","2033",,,,
"Q471-ZN01","2034",,,,
"Q314","2035",,,,
"M089","2037",,,,
"M360-ZN01","2038",,,,
"X118-ZN04","2039",,,,
"Q021-ZN01","2040",,,,
"X126-ZN04","2042",,,,
"X002-ZN04","2043",,,,
"M005-ZN01","2044",,,,
"B073-ZN23","2045",,,,
"Q220G","2046",,,,
"Q010A-ZN02","2047",,,,
"Q162-ZN04C","2048",,,"Yes","Seasonal"
"BT15","2052",,,,
"Q102-ZN01","2054","Yes","DEP/Sewer",,
"Q448-01","2055",,,,
"B073-ZN20","2057",,,,
"X126-ZN02","2058",,,,
"B052-03","2059",,,,
"M028-ZN04","2060",,,,
"M029-ZN01","2061",,,,
"M063","2062",,,,
"B057-ZN06","2063",,,,
"B431-ZN06","2065",,,,
"B541","2066",,,,
"X353","2067",,,,
"M399","2069",,,,
"B096","2070",,,,
"B018-ZN05","2071",,,,
"M105-01","2072",,,,
"X001-ZN02","2073","Yes","No Power",,
"X238","2074",,,"Yes","No Heat"
"Q104","2076",,,"Yes","No heat"
"X029","2077",,,,
"B311","2078",,,"Yes","No Heat"
"M065","2079",,,,
"M042-ZN01","2080",,,,
"Q300-ZN03","2081",,,,
"B245","2082",,,,
"B395","2083",,,,
"B169-ZN06B","2084",,,"Yes","Seasonal"
"B169-ZN02A","2085",,,,
"Q050-ZN08B","2086","Yes","Permanently Closed",,
"M104-ZN03","2087",,,,
"R016-ZN02","2088",,,"Yes","Seasonal"
"B008-03","2093",,,,
"M071-ZN18","2094",,,,
"M042-ZN02","2095","Yes","Repairs",,
"M283-ZN01","2098",,,,
"Q413","2099",,,,
"M360-ZN02","2104",,,,
"R153-ZN01","3110",,,,
"X106","3112",,,,
"M200A","3114",,,,
"Q520","3115","Yes","Other",,
"Q510","3116",,,,
"X247","3117",,,,
"B125-ZN02","3118",,,,
"M037-10","3120",,,,
"R125","3121",,,,
"M369","3122",,,,
"X344-01","3123",,,,
"B376","3124",,,,
"X147A-ZN01","3125",,,,
"X092-ZN02","3127",,,"Yes","No Heat"
"B018-ZN02","3128",,,,
"R046-ZN04","3129",,,"Yes","Seasonal"
"R017-ZN02","3130",,,,
"B049","3132",,,,
"X038-02","3133",,,,
"R017-ZN01","3134",,,,
"M010-ZN05","3135",,,,
"M047","3136",,,"Yes","No Heat"
"X028","3137",,,"Yes","No Heat"
"Q066F","3138",,,,
"R075A","3139",,,,
"Q516","3141",,,,
"Q509","3142",,,,
