"nta2020","ntaname","n_tracts","boroname","n_boroughs","pop_total","households","pop_65plus","pop_disabled","pov_below","pov_universe","dis_universe","med_hh_income_hhwtd","inc_tracts_used","poverty_rate","pct_65plus","disability_rate","events_311_raw","events_311","events_per_100k","ntatype","cdta2020","is_residential","restrooms","subway_riders","n_stations","jobs","hotels","area_sqmi","pop_density","jobs_density","l_sub","l_jobs","l_hotel","l_rest","l_dens","inc10k","pov","old","boro","pred","resid_ratio"
"BK1103","Gravesend (West)",16,"Brooklyn",1,56517,18221,10602,5653,10573,55937,56064,75253,16,0.189016214670075,0.187589574818196,0.100831192922374,19,10,17.6937912486509,0,"BK11",TRUE,2,5026045,4,18662,1,1.21366800148725,46567.1006657036,15376.5279937605,8.52258761531354,2.97868783894473,0.693147180559945,1.09861228866811,10.7486710506419,7.5253,18.9016214670075,18.7589574818196,"Brooklyn",17.5849283734167,0.568668793392249
"BK1201","Sunset Park (East)-Borough Park (West)",10,"Brooklyn",1,30220,9014,4526,2270,6728,29669,29828,65632,10,0.226768681114968,0.149768365320979,0.0761029904787448,8,5,16.5453342157512,0,"BK12",TRUE,1,2460064,2,9417,2,0.421442732733128,71706.0650305159,22344.6728786356,7.80834905574166,2.34343908700231,1.09861228866811,0.693147180559945,11.1803445577238,6.5632,22.6768681114968,14.9768365320979,"Brooklyn",9.2795934633856,0.538816707836227
"BK1202","Borough Park",21,"Brooklyn",1,89673,20890,8770,5038,30075,89254,89523,56332,21,0.336959688081206,0.0977997836584033,0.0562760407939859,17,12,13.3819544344452,0,"BK12",TRUE,2,2832900,3,58519,3,1.45206636735288,61755.4417732806,40300.4995609671,7.94940913381296,4.08629558930843,1.38629436111989,1.09861228866811,11.0309535692643,5.6332,33.6959688081206,9.77997836584033,"Brooklyn",38.4707402853232,0.311925372659857
"BK1203","Kensington",10,"Brooklyn",1,38903,13951,5224,4124,5641,38336,38659,91351,10,0.147146285475793,0.134282703133434,0.106676323753848,22,17,43.6984294270365,0,"BK12",TRUE,1,3114853,2,13833,2,0.626694088669566,62076.5389419721,22072.9702898054,8.04425823001133,2.69685442834148,1.09861228866811,0.693147180559945,11.0361395107396,9.1351,14.7146285475793,13.4282703133434,"Brooklyn",15.346102109052,1.10777315823882
"BK1204","Mapleton-Midwood (West)",16,"Brooklyn",1,37519,11256,5778,3554,7620,37400,37519,73999,16,0.203743315508021,0.154001972334017,0.0947253391614915,12,6,15.9918974386311,0,"BK12",TRUE,3,1640525,4,13738,0,1.12475739185226,33357.4158052107,12214.1895661394,7.40338096679826,2.69042919234481,0,1.38629436111989,10.4150653674917,7.3999,20.3743315508021,15.4001972334017,"Brooklyn",10.7870601303082,0.556221985185929
"BK1301","Gravesend (South)",7,"Brooklyn",1,28604,10783,6627,5155,5853,28293,28326,60400,7,0.206870957480649,0.231680883792477,0.181988279319353,13,4,13.984058173682,0,"BK13",TRUE,2,1247042,2,12565,2,0.926730613600197,30865.4959491174,13558.4168857733,7.12933120220925,2.6074929461109,1.09861228866811,1.09861228866811,10.3374266011447,6.04,20.6870957480649,23.1680883792477,"Brooklyn",6.76708988075528,0.591096035442869
"BK1302","Coney Island-Sea Gate",12,"Brooklyn",1,54465,22185,15214,11068,13462,53296,53536,45416,12,0.252589312518763,0.279335352978977,0.206739390316796,22,8,14.6883319563022,0,"BK13",TRUE,7,4696837,3,11502,1,1.70702302694379,31906.4237214846,6738.04618827717,8.4548574690018,2.52588863150962,0.693147180559945,2.07944154167984,10.37059398024,4.5416,25.2589312518763,27.9335352978977,"Brooklyn",10.2183025637997,0.782908898033763
"BK1303","Brighton Beach",8,"Brooklyn",1,28327,13743,7834,5656,6974,28053,28066,47868,8,0.248600862652836,0.27655593603276,0.201524976840305,42,24,84.7248208423059,0,"BK13",TRUE,1,3271871,2,18776,4,0.486548084463023,58220.3504742249,38590.2248915892,8.09342286034224,2.98446908127528,1.6094379124341,0.693147180559945,10.9720074130839,4.7868,24.8600862652836,27.655593603276,"Brooklyn",6.23739519726342,3.84776004100713
"BK1401","Flatbush",18,"Brooklyn",1,65759,25275,8230,6538,10085,65335,65624,82678,18,0.154358307186041,0.125153971319515,0.0996281848104352,34,17,25.8519746346508,0,"BK14",TRUE,2,4245189,1,7970,3,0.861748571370219,76308.8007160142,9248.63732274872,8.35377715375489,2.1938856760707,1.38629436111989,1.09861228866811,11.2425566587748,8.2678,15.4358307186041,12.5153971319515,"Brooklyn",25.7915810397486,0.65912981347675
"BK1402","Flatbush (West)-Ditmas Park-Parkville",11,"Brooklyn",1,39803,15820,6713,3851,7102,39627,39635,96678,11,0.179221238044767,0.16865562897269,0.0971615995963164,25,14,35.173228148632,0,"BK14",TRUE,2,8507387,5,20283,2,0.821591679538983,48446.2062984067,24687.4457289798,9.04880766188649,3.05790863198067,1.09861228866811,1.09861228866811,10.7882299541168,9.6678,17.9221238044767,16.865562897269,"Brooklyn",14.830961582305,0.943971159409082
