"nta2020","ntaname","n_tracts","boroname","n_boroughs","pop_total","households","pop_65plus","pop_disabled","pov_below","pov_universe","dis_universe","med_hh_income_hhwtd","inc_tracts_used","poverty_rate","pct_65plus","disability_rate","events_311_raw","events_311","events_per_100k","ntatype","cdta2020","is_residential","restrooms","subway_riders","n_stations","jobs","hotels","area_sqmi","pop_density","jobs_density","l_sub","l_jobs","l_hotel","l_rest","l_dens","inc10k","pov","old","boro","pred","resid_ratio","n_projects","park_acres","got","l_park","need","need_abs","coverage","med_hours","n_late","pct_unacceptable","n_insp","intervention","capex","excess","annual_cost","per_excess"
"BK0201","Brooklyn Heights",6,"Brooklyn",1,26031,12601,4704,1969,1161,24286,26031,181460,6,0.0478053199374125,0.180707617840267,0.0756405823825439,41,24,92.197764204218,0,"BK02",TRUE,8,1574849,1,17780,6,0.358058132071354,72700.4853916083,49656.7412032882,7.3625494536448,2.93279247378012,1.94591014905531,2.19722457733622,11.1941170951094,18.146,4.78053199374125,18.0707617840267,"Brooklyn",11.3390672976638,2.1165762024311,1,12.8362140723289,1,2.62728936308077,2.1165762024311,24,89.5719507199641,8,2,0,22,"Extend operating hours",0,12.6609327023362,51100,4036.0375654292
"QN0203","Woodside",14,"Queens",1,46947,18812,8477,3358,4129,46495,46716,75617,14,0.0888052478761157,0.1805653183377,0.0718811542084083,83,47,100.112893262615,0,"QN02",TRUE,1,7473043,4,17385,7,1.18191901827003,39720.9954948658,14709.1295860916,8.91919136330691,2.91153511475324,2.07944154167984,0.693147180559945,10.5896603559421,7.5617,8.88052478761157,18.05653183377,"Queens",27.9648129327027,1.68068351156525,1,11.0979769126874,1,2.49303824132511,1.68068351156525,47,12.2836344344727,7.33333333333333,0,20,30,"Build new / modular unit",1200000,19.0351870672973,80658.8491162309,4237.35521122374
"MN0301","Chinatown-Two Bridges",7,"Manhattan",1,38006,18246,9769,4945,13212,37707,37742,36726,6,0.350385869997613,0.257038362363837,0.131021143553601,48,27,71.0414145134979,0,"MN03",TRUE,5,3996884,1,14668,16,0.413990352108793,91804.0717770456,35430.7773726702,8.29352050013216,2.75162041580358,2.83321334405622,1.79175946922805,11.4274228231984,3.6726,35.0385869997613,25.7038362363837,"Manhattan",14.9594256508195,1.80488212784565,1,15.3845830001628,1,2.79634083173005,1.80488212784565,27,93.465177007428,8,0,19.6428571428571,56,"Extend operating hours",0,12.0405743491805,51100,4243.98359397847
"SI0102","Tompkinsville-Stapleton-Clifton-Fox Hills",5,"Staten Island",1,18170,6083,2518,2084,4756,17467,17497,51778,5,0.272284880059541,0.138580077050083,0.119106132479854,7,4,22.0143093010457,0,"SI01",TRUE,2,1,1,4408,0,0.869543036212755,20896.0330234354,5069.32931025334,0.000999500333083533,1.68787933874066,0,1.09861228866811,9.94736246727437,5.1778,27.2284880059541,13.8580077050083,"Staten Island",2.41417515833275,1.65688060627815,0,13.1138052241609,0,2.64715341229643,1.65688060627815,4,36.3877342909295,7.83333333333333,0,25,16,"Reconstruct or repair",1656500,1.58582484166725,7092.44564961215,4472.40165701752
"BX1203","Wakefield-Woodlawn",16,"Bronx",1,49552,18594,8769,7874,8587,49001,49265,85993,16,0.175241321605682,0.176965611882467,0.159829493555262,79,31,62.5605424604456,0,"BX12",TRUE,3,2290926,3,8895,6,1.42213390294408,34843.4137583094,6254.68528778176,7.7371477911005,2.29202957905453,1.94591014905531,1.38629436111989,10.458648109461,8.5993,17.5241321605682,17.6965611882467,"Bronx",13.5449087577509,2.28868282204268,2,19.8760228975404,1,3.03860127061618,2.28868282204268,31,32.3219494531066,8.33333333333333,0,30,10,"Build new / modular unit",1200000,17.4550912422491,80658.8491162309,4620.935404852
"BK1002","Dyker Heights",17,"Brooklyn",1,39148,13587,7739,4634,7677,38873,38938,78684,17,0.197489259897615,0.197685705527741,0.119009707740511,24,16,40.8705425564524,0,"BK10",TRUE,4,0,0,15173,0,1.04450300760751,37480.0261127734,14526.5259070479,0,2.78334318513764,0,1.6094379124341,10.5315901135863,7.8684,19.7489259897615,19.7685705527741,"Brooklyn",6.28327918544386,2.54644104261137,1,17.8660496209018,1,2.93736399040028,2.54644104261137,16,44.9793556486622,8,0,0,5,"Extend operating hours",0,9.71672081455614,51100,5258.97583919974
"BK0703","Sunset Park (Central)",14,"Brooklyn",1,44499,13497,6183,3711,11523,44158,44484,66011,13,0.26094931835681,0.138946942627924,0.0834232533045589,49,30,67.4172453313558,0,"BK07",TRUE,1,2868392,1,13407,4,0.672717365319422,66148.1363408403,19929.6178323478,7.96185543962109,2.66771419957934,1.6094379124341,0.693147180559945,11.0996671133859,6.6011,26.094931835681,13.8946942627924,"Brooklyn",15.2000290343806,1.97368044048756,0,23.8601557427736,0,3.21326635085673,1.97368044048756,30,27.2200755250059,8,0,0,6,"Build new / modular unit",1200000,14.7999709656194,80658.8491162309,5449.93292916607
"BK0204","Clinton Hill",7,"Brooklyn",1,29205,13664,3553,2544,2641,26882,29175,129174,7,0.0982441782605461,0.12165725047081,0.0871979434447301,34,22,75.3295668549906,0,"BK02",TRUE,5,4862834,3,11585,2,0.522505281514049,55894.171854825,22172.0246854356,8.48958229477415,2.53250562858728,1.09861228866811,1.79175946922805,10.9312332843007,12.9174,9.82441782605461,12.165725047081,"Brooklyn",13.2283434411141,1.66309561722016,0,7.35569253947295,0,2.122943047837,1.66309561722016,22,87.9333086623066,8,0,18.6046511627907,43,"Extend operating hours",0,8.7716565588859,51100,5825.58148018626
"BK1703","East Flatbush-Rugby",16,"Brooklyn",1,36352,14124,7385,4175,6138,35699,35883,71290,16,0.171937589288215,0.203152508802817,0.116350360895131,34,18,49.5158450704225,0,"BK17",TRUE,3,0,0,5682,1,0.975852046022332,37251.5486831988,5822.60397276451,0,1.89941734393456,0.693147180559945,1.38629436111989,10.5254756424926,7.129,17.1937589288215,20.3152508802817,"Brooklyn",5.66553773016445,3.17710354379328,3,4.72501550602532,1,1.74484525791267,3.17710354379328,18,33.3160465243297,8,0,14.8148148148148,27,"Build new / modular unit",1200000,12.3344622698355,80658.8491162309,6539.30810696838
"BX0102","Melrose",8,"Bronx",1,41043,15978,5240,8885,17401,40900,41024,31028,8,0.425452322738386,0.127670979216919,0.216580538221529,24,16,38.9835051044027,0,"BX01",TRUE,5,6771434,3,20580,4,0.619539281925913,66247.6152802013,33218.2326454339,8.8206158286183,3.07176695982999,1.6094379124341,1.79175946922805,11.1011698421991,3.1028,42.5452322738386,12.7670979216919,"Bronx",10.2966411204946,1.55390479407438,1,10.2245388492205,1,2.41810235030962,1.55390479407438,16,75.8812168173652,8,0,13.6363636363636,44,"Extend operating hours",0,5.7033588795054,51100,8959.63257434563
