"nta2020","ntaname","pop_total","resid_ratio","oath","c311"
"BX0101","Mott Haven-Port Morris",56600,0.62268673112132,189,2
"BX0102","Melrose",41043,1.55390479407438,134,9
"BX0201","Hunts Point",14219,2.36361360268277,37,2
"BX0202","Longwood",40143,0.846384734286725,28,3
"BX0301","Morrisania",37248,0.889945519094801,74,5
"BX0302","Claremont Village-Claremont (East)",24213,0,61,0
"BX0303","Crotona Park East",29480,0.752869590591438,18,3
"BX0401","Concourse-Concourse Village",67780,0.896935506086255,65,8
"BX0402","Highbridge",30812,1.25223075146123,25,4
"BX0403","Mount Eden-Claremont (West)",48394,0.6343306455771,99,4
"BX0501","University Heights (South)-Morris Heights",53624,0.371180211357933,62,0
"BX0502","Mount Hope",47120,0.547831232410466,186,6
"BX0503","Fordham Heights",30863,0.725491066182245,159,3
"BX0601","West Farms",18442,0.330614418423195,18,1
"BX0602","Tremont",32428,0.978678017231537,40,1
"BX0603","Belmont",35608,1.06824638860546,56,5
"BX0701","University Heights (North)-Fordham",42305,0.915781576293788,134,4
"BX0702","Bedford Park",49148,0.768492176793067,93,2
"BX0703","Norwood",39556,0.306051693365224,82,2
"BX0801","Kingsbridge Heights-Van Cortlandt Village",33261,0.960105435445689,27,1
"BX0802","Kingsbridge-Marble Hill",24004,1.42194900364627,41,4
"BX0803","Riverdale-Spuyten Duyvil",47430,1.4474649880832,3,5
"BX0901","Soundview-Bruckner-Bronx River",67869,1.28407701216632,137,15
"BX0902","Soundview-Clason Point",35612,1.47160802023741,80,3
"BX0903","Castle Hill-Unionport",35838,0.917924902040986,11,5
"BX0904","Parkchester",29460,1.10256713382628,1,0
"BX1001","Westchester Square",14680,0.889472466596276,5,2
"BX1002","Throgs Neck-Schuylerville",47903,0.41470513898111,30,2
"BX1003","Pelham Bay-Country Club-City Island",28351,1.11233636936693,1,2
"BX1004","Co-op City",36000,0,0,0
"BX1101","Pelham Parkway-Van Nest",28955,1.35169233244928,2,8
"BX1102","Morris Park",23701,1.04541951702163,9,5
"BX1103","Pelham Gardens",27832,0.697236250939259,3,3
"BX1104","Allerton",33067,1.07567199693424,9,3
"BX1201","Williamsbridge-Olinville",57663,2.93583727431726,19,27
"BX1202","Eastchester-Edenwald-Baychester",51213,0.587993100055581,18,4
"BX1203","Wakefield-Woodlawn",49552,2.28868282204268,47,10
"MN0101","Financial District-Battery Park City",48198,0.560543511326584,33,42
"MN0102","Tribeca-Civic Center",22563,1.71084506061061,66,28
"MN0201","SoHo-Little Italy-Hudson Square",21220,1.0179222949138,78,20
"MN0202","Greenwich Village",31628,1.23238947814973,91,25
"MN0203","West Village",31913,1.77130061812225,110,33
"MN0301","Chinatown-Two Bridges",38006,1.80488212784565,65,15
"MN0302","Lower East Side",47185,0.855790108041795,233,11
"MN0303","East Village",69437,0.735645740884487,118,19
"MN0401","Chelsea-Hudson Yards",62960,0.685463405672554,174,39
"MN0402","Hell's Kitchen",54743,0.910365062481789,297,28
"MN0501","Midtown South-Flatiron-Union Square",29148,0.699478430220143,160,24
"MN0502","Midtown-Times Square",23035,1.92885304521269,318,50
"MN0601","Stuyvesant Town-Peter Cooper Village",22040,0.672113294130889,4,1
"MN0602","Gramercy",25905,1.26836924648668,55,25
"MN0603","Murray Hill-Kips Bay",53742,0.909080912328549,26,18
"MN0604","East Midtown-Turtle Bay",42046,0.852871288818908,68,19
"MN0701","Upper West Side-Lincoln Square",69909,0.627778915027246,11,23
"MN0702","Upper West Side (Central)",101153,0.804439571681821,48,26
"MN0703","Upper West Side-Manhattan Valley",50132,0.881076953133927,73,15
"MN0801","Upper East Side-Lenox Hill-Roosevelt Island",77188,0.634737457540231,1,31
"MN0802","Upper East Side-Carnegie Hill",56073,0.782806334507347,7,22
"MN0803","Upper East Side-Yorkville",78549,0.909123127708598,3,25
"MN0901","Morningside Heights",37716,0.599323720590127,61,12
"MN0902","Manhattanville-West Harlem",21638,1.36497719579646,70,7
"MN0903","Hamilton Heights-Sugar Hill",53598,0.793479747021598,104,17
"MN1001","Harlem (South)",48446,0.763909309131005,145,19
"MN1002","Harlem (North)",86565,0.842369783767182,386,12
"MN1101","East Harlem (South)",61875,0.325988897220583,306,6
"MN1102","East Harlem (North)",63246,2.98488723720327,775,29
"MN1201","Washington Heights (South)",76079,0.677786348318472,101,19
"MN1202","Washington Heights (North)",74030,0.641295724606128,142,19
"MN1203","Inwood",36850,1.00307257521237,185,8
"QN0101","Astoria (North)-Ditmars-Steinway",48620,0.876013626995123,23,13
"QN0102","Old Astoria-Hallets Point",13998,0.853516258461173,12,3
"QN0103","Astoria (Central)",48044,0.843543477288977,86,15
"QN0104","Astoria (East)-Woodside (North)",36805,2.77758953060979,82,15
"QN0105","Queensbridge-Ravenswood-Dutch Kills",29051,0.298083687563722,88,5
