name,chain,category,latitude,longitude,source
"DUNKIN' / BASKIN ROBBINS","Dunkin","chain restaurant / coffee","40.801558795638","-73.948568977301","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN',' BASKIN ROBBINS","Dunkin","chain restaurant / coffee","40.764129940695","-73.958687788924","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN","Dunkin","chain restaurant / coffee","40.772625268685","-73.795152528241","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"SUBWAY","Subway","chain restaurant / coffee","40.625113344147","-74.145093805934","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"POPEYES","Popeyes","chain restaurant / coffee","40.824117526154","-73.859478519433","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"POPEYES","Popeyes","chain restaurant / coffee","40.86644068855","-73.861160348049","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"BURGER KING, POPEYES","Burger King","chain restaurant / coffee","40.721651063827","-73.80394651219","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"BURGER KING, POPEYES","Burger King","chain restaurant / coffee","40.837753747887","-73.859756792574","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"CHIPOTLE MEXICAN GRILL","Chipotle","chain restaurant / coffee","40.757442664136","-73.973798050467","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"CHIPOTLE MEXICAN GRILL","Chipotle","chain restaurant / coffee","40.755846551438","-73.980515949789","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN","Dunkin","chain restaurant / coffee","40.760542065811","-73.976421114653","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN","Dunkin","chain restaurant / coffee","40.729898202195","-73.86170932444","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN","Dunkin","chain restaurant / coffee","40.527752509527","-74.231871232975","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN","Dunkin","chain restaurant / coffee","40.724804982084","-73.722862269161","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"POPEYES","Popeyes","chain restaurant / coffee","40.604424469282","-73.997976082741","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN","Dunkin","chain restaurant / coffee","40.575558688379","-73.980802725594","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN","Dunkin","chain restaurant / coffee","40.881356075528","-73.83845462912","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS","Starbucks","chain restaurant / coffee","40.710364426912","-74.00806169397","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS","Starbucks","chain restaurant / coffee","40.764681266138","-73.97693948003","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"SUBWAY","Subway","chain restaurant / coffee","40.824026926714","-73.873635272519","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN","Dunkin","chain restaurant / coffee","40.674292763913","-73.735672734865","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN","Dunkin","chain restaurant / coffee","40.596586329156","-74.085574258833","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"SUBWAY","Subway","chain restaurant / coffee","40.801589884354","-73.944595769761","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS","Starbucks","chain restaurant / coffee","40.737968201829","-73.988008881315","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN","Dunkin","chain restaurant / coffee","40.697127300483","-73.814329350629","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN' / JIMMY JOHN'S","Dunkin","chain restaurant / coffee","40.746674343927","-73.985856346962","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN","Dunkin","chain restaurant / coffee","40.769752205055","-73.834744279195","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"CHIPOTLE MEXICAN GRILL","Chipotle","chain restaurant / coffee","40.739721783434","-73.985244363578","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"CHIPOTLE MEXICAN GRILL","Chipotle","chain restaurant / coffee","40.751240830066","-73.980434289471","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.849542641001","-73.844987873862","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"BURGER KING","Burger King","chain restaurant / coffee","40.819050413643","-73.927090950871","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"POPEYES","Popeyes","chain restaurant / coffee","40.819050413643","-73.927090950871","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN","Dunkin","chain restaurant / coffee","40.674309145438","-73.84319042987","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN","Dunkin","chain restaurant / coffee","0","0","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN","Dunkin","chain restaurant / coffee","40.755952491247","-73.998133888485","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN","Dunkin","chain restaurant / coffee","40.773709307149","-73.90726515828","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN'","Dunkin","chain restaurant / coffee","40.714012180926","-74.008668149838","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.866995071884","-73.897752208058","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN","Dunkin","chain restaurant / coffee","40.853341937247","-73.934131008193","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN","Dunkin","chain restaurant / coffee","40.895495089844","-73.876913435036","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
