"nta2020","ntaname","n_tracts","boroname","n_boroughs","pop_total","households","pop_65plus","pop_disabled","pov_below","pov_universe","dis_universe","med_hh_income_hhwtd","inc_tracts_used","poverty_rate","pct_65plus","disability_rate","events_311_raw","events_311","events_per_100k","ntatype","cdta2020","is_residential","restrooms","subway_riders","n_stations","jobs","hotels","area_sqmi","pop_density","jobs_density","l_sub","l_jobs","l_hotel","l_rest","l_dens","inc10k","pov","old","boro","pred","resid_ratio","n_projects","park_acres","got","l_park","need","need_abs","coverage","med_hours","n_late","pct_unacceptable","n_insp","intervention","capex","excess"
"BX0402","Highbridge",5,"Bronx",1,30812,12162,3370,5182,8830,30207,30729,44594,5,0.292316350514781,0.109372971569518,0.168635490904357,14,6,19.4729326236531,0,"BX04",TRUE,2,0,0,3296,5,0.468067886339864,65828.0580642686,7041.71359794331,0,1.45768435720656,1.79175946922805,1.09861228866811,11.0948166317505,4.4594,29.2316350514781,10.9372971569518,"Bronx",4.7914491742026,1.25223075146123,0,20.8057791039788,0,3.08217503117596,1.25223075146123,6,64.4178633090976,8.25,0,18.1818181818182,11,"Extend operating hours",0,1.2085508257974
"BX0403","Mount Eden-Claremont (West)",12,"Bronx",1,48394,17422,5965,9647,14759,48222,48394,43308,12,0.306063622413006,0.123259081704344,0.199342893747159,16,6,12.3982311856842,0,"BX04",TRUE,2,3585273,3,4045,0,0.488100017317988,99147.7121142411,8287.23592805111,8.18486878065946,1.61839765380557,0,1.09861228866811,11.5043761445972,4.3308,30.6063622413006,12.3259081704344,"Bronx",9.45878942131407,0.6343306455771,1,12.7734889402483,1,2.62274565321421,0.6343306455771,6,80.874034652086,14.0833333333333,1,NA,NA,"Monitor / already served",NA,0
"BX0501","University Heights (South)-Morris Heights",13,"Bronx",1,53624,19333,5709,11951,20618,53392,53613,34394,12,0.386162721006892,0.106463523795316,0.222912353347136,19,4,7.45934656124123,0,"BX05",TRUE,4,2662300,2,4631,1,0.704394836963724,76127.7584474425,6574.43774000646,7.88732123436933,1.72828704627248,0.693147180559945,1.6094379124341,11.2401813758452,3.4394,38.6162721006892,10.6463523795316,"Bronx",10.7764365599295,0.371180211357933,2,17.1983311817319,1,2.90132989656723,0.371180211357933,4,66.9214627240245,7.91666666666667,0,30,10,"Reconstruct or repair",60500,0
"BX0502","Mount Hope",10,"Bronx",1,47120,17264,4714,9477,14762,46002,46951,40825,9,0.320899091343855,0.100042444821732,0.201848735916168,19,7,14.8556876061121,0,"BX05",TRUE,1,2780634,2,7500,5,0.45489576560054,103584.169304794,16487.2935013997,7.93079380379985,2.14006616349627,1.79175946922805,0.693147180559945,11.5481494451315,4.0825,32.0899091343855,10.0042444821732,"Bronx",12.7776577636873,0.547831232410466,0,9.37854871899555,0,2.33974105283703,0.547831232410466,7,61.497463490564,8,0,36.3636363636364,11,"Reconstruct or repair",60500,0
"BX0503","Fordham Heights",7,"Bronx",1,30863,10692,2315,4572,10638,30770,30863,38801,7,0.345726356841079,0.0750089103457214,0.148138547775654,12,6,19.4407543012669,0,"BX05",TRUE,1,3926458,3,5566,3,0.264686632298046,116602.035138848,21028.6403649297,8.27574767624701,1.8819048190794,1.38629436111989,0.693147180559945,11.6665305829101,3.8801,34.5726356841079,7.50089103457214,"Bronx",8.27026035148003,0.725491066182245,0,0.986910700865851,0,0.686581020871725,0.725491066182245,6,83.1714875288786,8,0,40,10,"Reconstruct or repair",60500,0
"BX0601","West Farms",5,"Bronx",1,18442,7156,2467,3851,7913,18255,18422,31965,5,0.433470282114489,0.133770740700575,0.209043534903919,4,1,5.42240537902614,0,"BX06",TRUE,1,3677535,3,2445,1,0.419724495981314,43938.3456924111,5825.24971358558,8.21026985407491,1.23692390446562,0.693147180559945,0.693147180559945,10.6905654548949,3.1965,43.3470282114489,13.3770740700575,"Bronx",3.02467147309944,0.330614418423195,0,13.3137348652827,0,2.6612195563897,0.330614418423195,1,68.1870005445774,8.33333333333333,0,54.5454545454545,11,"Reconstruct or repair",60500,0
"BX0602","Tremont",9,"Bronx",1,32428,12135,4061,8822,10213,32085,32187,36794,9,0.318310737104566,0.125231281608486,0.274085811041725,10,5,15.4187738990995,0,"BX06",TRUE,3,0,0,9707,4,0.56779726968584,57111.9336624184,17095.8905902645,0,2.37089773317613,1.6094379124341,1.38629436111989,10.9527858789689,3.6794,31.8310737104566,12.5231281608486,"Bronx",5.10893257227121,0.978678017231537,3,32.7896630810333,1,3.52015492970973,0.978678017231537,5,64.4725731138145,8,0,26.0869565217391,23,"Reconstruct or repair",60500,0
"BX0603","Belmont",7,"Bronx",1,35608,12802,4037,6061,13372,32050,35608,32264,7,0.417223088923557,0.113373399236127,0.170214558526174,25,6,16.850146034599,0,"BX06",TRUE,4,0,0,14168,7,0.588052315125776,60552.4357001875,24093.0945012429,0,2.71918794551267,2.07944154167984,1.6094379124341,11.0112814889105,3.2264,41.7223088923557,11.3373399236127,"Bronx",5.6166817543214,1.06824638860546,0,3.58130769585808,0,1.52198448048525,1.06824638860546,6,68.7397136587043,8,0,7.14285714285714,28,"Extend operating hours",0,0.3833182456786
"BX0701","University Heights (North)-Fordham",9,"Bronx",1,42305,16160,5846,6976,11095,41260,41377,44865,9,0.268904507998061,0.138186975534807,0.168596079947797,26,9,21.2740810778868,0,"BX07",TRUE,5,2098918,1,10180,1,0.657054869414642,64385.7948084134,15493.3788240078,7.64965357533009,2.41412646772695,0.693147180559945,1.79175946922805,11.0726638415081,4.4865,26.8904507998061,13.8186975534807,"Bronx",9.82767095667444,0.915781576293788,0,32.133138533107,0,3.50053394569465,0.915781576293788,9,80.9538972225227,8,0,7.27272727272727,55,"Extend operating hours",0,0
"BX0702","Bedford Park",11,"Bronx",1,49148,20487,6441,6964,13974,49000,49061,46725,11,0.285183673469388,0.131053145601042,0.141945741016286,19,9,18.3120371123952,0,"BX07",TRUE,3,5413746,4,7479,1,0.88074246740772,55802.9183543934,8491.69907976944,8.5968812515944,2.13759251832187,0.693147180559945,1.38629436111989,10.9295993673089,4.6725,28.5183673469388,13.1053145601042,"Bronx",11.7112447878873,0.768492176793067,2,22.8544446156843,1,3.17197055702379,0.768492176793067,9,57.4674434449549,8,0,14.2857142857143,21,"Extend operating hours",0,0
