evnt_key,occur_date,law_desc,law_code,precinct,latitude,longitude
"261727282","2023-01-09T00:00:00.000","PUBLIC URINATION","16-118(6)","076","40.674457","-74.005868"
"261727284","2023-01-10T00:00:00.000","PUBLIC URINATION","16-118(6)","023","40.798252","-73.942864"
"261727288","2023-01-11T00:00:00.000","PUBLIC URINATION","16-118(6)","025","40.799522","-73.932838"
"261747161","2023-01-11T00:00:00.000","PUBLIC URINATION","16-118(6)","071","40.659049","-73.950454"
"261753792","2023-01-11T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.749356","-73.874766"
"261754587","2023-01-11T00:00:00.000","PUBLIC URINATION","16-118(6)","042","40.8222710411331","-73.911697780277"
"261779322","2023-01-12T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.750311","-73.861928"
"261779323","2023-01-12T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.750311","-73.861928"
"261779826","2023-01-12T00:00:00.000","PUBLIC URINATION","16-118(6)","107","40.707472","-73.803644"
"261784030","2023-01-12T00:00:00.000","PUBLIC URINATION","16-118(6)","102","40.702124","-73.820467"
"261794308","2023-01-11T00:00:00.000","PUBLIC URINATION","16-118(6)","023","40.798951","-73.944551"
"261816911","2023-01-12T00:00:00.000","PUBLIC URINATION","16-118(6)","025","40.8009303727402","-73.9410982410066"
"261822411","2023-01-12T00:00:00.000","PUBLIC URINATION","16-118(6)","079","40.68900139556","-73.9450265328727"
"261823158","2023-01-12T00:00:00.000","PUBLIC URINATION","16-118(6)","044","40.8378421209284","-73.9196277517392"
"261823159","2023-01-13T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.750846","-73.869386"
"261824430","2023-01-12T00:00:00.000","PUBLIC URINATION","16-118(6)","048","40.8441566000203","-73.9006054489734"
"261843585","2023-01-12T00:00:00.000","PUBLIC URINATION","16-118(6)","075","40.6713598203364","-73.8818110231735"
"261843586","2023-01-13T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.7565675846374","-73.8759315341335"
"261844147","2023-01-13T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.749565","-73.873857"
"261844149","2023-01-13T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.750311","-73.861928"
"261850565","2023-01-07T00:00:00.000","PUBLIC URINATION","16-118(6)","107","40.705848","-73.809345"
"261865753","2023-01-08T00:00:00.000","PUBLIC URINATION","16-118(6)","047","40.877117","-73.8656"
"261867945","2023-01-12T00:00:00.000","PUBLIC URINATION","16-118(6)","109","40.759861","-73.828967"
"261875867","2023-01-13T00:00:00.000","PUBLIC URINATION","16-118(6)","075","40.6713598203364","-73.8818110231735"
"261881179","2023-01-13T00:00:00.000","PUBLIC URINATION","16-118(6)","073","40.667566","-73.907293"
"261883369","2023-01-13T00:00:00.000","PUBLIC URINATION","16-118(6)","081","40.692475","-73.927289"
"261883630","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","001","40.708028","-74.00178"
"261883633","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","007","40.718344","-73.989242"
"261884043","2023-01-13T00:00:00.000","PUBLIC URINATION","16-118(6)","088","40.689417","-73.981201"
"261884044","2023-01-13T00:00:00.000","PUBLIC URINATION","16-118(6)","014","40.756635","-73.98837"
"261884047","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","025","40.798285","-73.94082"
"261885149","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","007","40.720656","-73.988061"
"261885150","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","007","40.720656","-73.988061"
"261885152","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","075","40.671137","-73.900968"
"261885154","2023-01-13T00:00:00.000","PUBLIC URINATION","16-118(6)","014","40.7535327012632","-73.9945368920152"
"261885161","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","006","40.7338967584511","-74.0053958373447"
"261885163","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","007","40.720656","-73.988061"
"261891424","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","104","40.70303","-73.90806"
"261891430","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","007","40.721348","-73.988146"
"261891851","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.751967","-73.863772"
"261891852","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.748832","-73.872573"
"261891854","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","001","40.721869","-74.004201"
"261891861","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.752145","-73.868642"
