period,eligible,k,known_failures,rated_slots,unrated_slots,no_followup_slots,precision_among_rated,precision_lower,precision_upper,recall_observed,model,budget
2025H2,683,205,34.3333333333333,179,20,6,0.191806331471136,0.167479674796748,0.29430894308943,0.504901960784314,smoothed_history,30pct
2026H1,682,205,47.6708860759494,143.544303797468,57.4556962025317,4,0.332098765432099,0.232540907687558,0.532324791602346,0.449725340339145,smoothed_history,30pct
2025H1,685,50,7.45454545454546,29.3636363636364,19.6363636363636,1,0.253869969040248,0.149090909090909,0.561818181818182,0.106493506493507,smoothed_history,50
2025H2,683,50,8.5,37,9,4,0.22972972972973,0.17,0.43,0.125,smoothed_history,50
2026H1,682,50,8.76923076923077,27.8461538461538,20.1538461538462,2,0.314917127071823,0.175384615384615,0.618461538461539,0.0827285921625544,smoothed_history,50
2025H1,685,69,10,47,20,2,0.212765957446809,0.144927536231884,0.463768115942029,0.142857142857143,logistic_basic,10pct
2025H2,683,69,16,53,12,4,0.30188679245283,0.231884057971015,0.463768115942029,0.235294117647059,logistic_basic,10pct
2026H1,682,69,20,44,21,4,0.454545454545455,0.289855072463768,0.652173913043478,0.188679245283019,logistic_basic,10pct
2025H1,685,137,20,97,37,3,0.206185567010309,0.145985401459854,0.437956204379562,0.285714285714286,logistic_basic,20pct
2025H2,683,137,28,117,15,5,0.239316239316239,0.204379562043796,0.35036496350365,0.411764705882353,logistic_basic,20pct
2026H1,682,137,40,98,35,4,0.408163265306122,0.291970802919708,0.576642335766423,0.377358490566038,logistic_basic,20pct
2025H1,685,206,28,148,53,5,0.189189189189189,0.135922330097087,0.41747572815534,0.4,logistic_basic,30pct
2025H2,683,205,36,171,24,10,0.210526315789474,0.175609756097561,0.341463414634146,0.529411764705882,logistic_basic,30pct
2026H1,682,205,48,146.5,49.5,9,0.327645051194539,0.234146341463415,0.519512195121951,0.452830188679245,logistic_basic,30pct
2025H1,685,50,9,33,15,2,0.272727272727273,0.18,0.52,0.128571428571429,logistic_basic,50
2025H2,683,50,12,37,9,4,0.324324324324324,0.24,0.5,0.176470588235294,logistic_basic,50
2026H1,682,50,17,30,18,2,0.566666666666667,0.34,0.74,0.160377358490566,logistic_basic,50
