prop_id,lon,lat,register_matches,register_id,register_name,listed_status,nearest_alternative_m,alternatives_within400m
X187-03,-73.84234,40.8679,1,96,Angelo Campanaro Playground,Operational,339.309618917656,1
X157,-73.8582,40.8625,1,77,Mazzei Playground,Operational,639.376937881529,0
X156,-73.8527,40.86976,1,76,Eastchester Playground,Operational,490.603988383076,0
X162,-73.8679571428571,40.8684571428571,1,81,Parkside Playground,Operational,438.806136167932,0
B142,-73.9641,40.7081,1,193,Bedford Playground,Operational,263.576887159779,1
B264,-73.96236,40.7061,1,252,Roebling Playground,Operational,266.359629839877,1
B288,-73.98932,40.66128,1,263,Slope Park Playground,Operational,918.512025375645,0
B364,-73.92924,40.67486,1,296,Woods Playground,Operational,525.956686469873,0
B347,-73.9205,40.68044,1,290,Carver Playground,Not Operational,187.887471459158,1
B258,-73.9227,40.68064,1,248,Brevoort Playground,Operational,391.540154315337,1
B223Jb,-73.9854285714286,40.7007571428571,1,227,Susan Smith McKinney Steward Park,Operational,380.98199315142,1
X112,-73.90744,40.8229,1,56,Hilton White Playground,Operational,340.653483560706,2
M161,-73.99138,40.75916,1,389,McCaffrey Playground,Operational,262.305537254386,1
M208A,-73.93556,40.80656,1,398,Alice Kornegay Triangle,Operational,397.007986993595,1
Q106,-73.7582272727273,40.7001727272727,1,500,Daniel M. O'Connell Playground,Not Operational,846.388651919418,0
Q359,-73.7581,40.71314,1,568,Haggerty Park,Operational,771.475291696648,0
Q405,-73.75314,40.7067,2,,,,,
M353-ZN01,-73.9884875,40.7797875,1,426,North Riverside Blvd and Slopes,Not Operational,471.940443412446,0
B061,-73.98602,40.69666,1,155,McLaughlin Park,Operational,308.590012136498,1
B329-01,-73.91122,40.61228,1,284,Lindower Park Playground,Operational,803.958317470018,0
B253,-73.9705,40.69024,1,246,Albert J. Parham Playground,Operational,149.582705061612,2
B267,-73.9548,40.65652,1,254,Winthrop Playground,Operational,586.770111155713,0
B148,-73.9475,40.6557,1,194,Rolph Henry Playground,Operational,465.222319169612,0
M056-ZN01,-73.9590333333333,40.8024555555556,1,346,Morningside Park Zone 1,Not Operational,347.537959461262,1
R075A,-74.1630652173913,40.6168,1,1047,Father Macris Park,Operational,394.82302219189,1
B103,-73.8710714285714,40.6707285714286,1,176,Cypress Hills Playground,Operational,333.971723940151,1
B309,-73.8625285714286,40.6665,1,275,Pink Playground,Operational,864.875838548013,0
Q408,-73.85044,40.66474,1,592,Harold Schneiderman Playground,Operational,644.319116073735,0
Q426,-73.77512,40.68004,1,598,North Rochdale Playground,Operational,654.296412601851,0
Q051,-73.7781142857143,40.6933428571429,1,477,174 St Playground,Operational,789.590665072029,0
Q052,-73.7982142857143,40.7114285714286,1,686,Captain Tilly Park,Operational,494.41234457305,0
Q391,-73.80114,40.71568,1,583,Joseph Austin Playground,Operational,532.36057020393,0
X121,-73.831,40.8380142857143,1,62,Bufano Park,Operational,638.694222257348,0
X163,-73.85202,40.84884,1,82,Loreto Playground,Operational,425.930449614268,0
X176,-73.8661428571429,40.839,1,92,Taylor Playground,Operational,542.068859939405,0
X148L,-73.86214,40.8343,1,72,Virginia Playground,Operational,324.583169454402,1
M283-ZN01,-74.0183666666667,40.7052166666667,1,423,Battery Park City Zone 1,Operational,259.228300889118,1
Q344,-73.80604,40.7308,1,558,Emerald Playground,Operational,416.533979994127,0
Q314,-73.7962,40.73446,1,692,Fresh Meadows Playground,Operational,790.628793119674,0
Q342,-73.8054265060243,40.7357614457831,1,556,Electric Playground,Operational,504.219958125401,0
Q330,-73.75616,40.68592,1,549,Locust Manor Playground,Operational,802.913594282063,0
Q396,-73.7564,40.674,1,584,Montbellier Park,Operational,964.535354717711,0
Q329,-73.8141,40.73616,1,548,Pomonok Playground,Operational,492.759284686022,0
M226,-73.98204,40.73562,1,407,Augustus St. Gaudens Playground,Operational,274.845722981992,1
M029-ZN01,-73.9327529411765,40.8607823529412,2,,,,,
Q520,-73.77488,40.59238,1,607,Arverne East Nature Preserve,Operational,780.249797878837,0
X092-ZN07,-73.89264,40.90092,1,47,Stables Area,Operational,177.708384876148,1
X152,-73.9048571428571,40.9021428571429,1,75,Vinmont Veteran Park,Operational,248.822127070722,1
B357,-73.9588714285714,40.6658571428571,1,294,Jackie Robinson Playground,Operational,510.192051551143,0
Q119,-73.80794,40.68312,1,503,Frederick B. Judge Playground,Operational,568.377786982894,0
Q005-ZN05,-73.78864,40.66912,1,441,Baisley Park South Playground,Operational,617.081976857435,0
Q220C-03,-73.80236,40.68022,1,523,Dr. Charles R. Drew Park,Operational,568.377786983389,0
Q066F,-73.9173095238095,40.772,1,1052,Hoyt Playground,Operational,588.66366217582,0
B082-ZN02,-74.0387133333334,40.6320733333333,1,168,Shore Road Park Zone 2,Operational,660.153565721275,0
M144-ZN06,-73.97284,40.72386,1,385,East River Park Zone 6,Operational,248.868351457431,1
M042,-73.9290769230769,40.8674076923077,1,668,Payson Playground,Not Operational,220.859253192172,3
Q448-ZN02A,-73.7725142857143,40.6876285714286,1,603,Roy Wilkins Rec Center Zone 2A,Operational,380.053106018719,1
Q099-ZN17,-73.8338,40.7510111111111,1,492,College Point Blvd Soccer Fields,Not Operational,359.58540185598,1
M010-ZN05,-73.9746333333333,40.7691222222222,2,,,,,
Q001-ZN03,-73.7485181818182,40.7415727272727,1,434,Alley Springfield Playground,Operational,651.138152897548,0
Q107,-73.7623153846154,40.6608,1,501,Springfield Park,Operational,411.277060458945,0
Q445,-73.8328636363637,40.7849636363636,1,602,136 St Playground,Operational,814.8219123363,0
R125,-74.08508,40.6113,1,1037,Lopez Playground,Operational,1020.73643098006,0
Q387A,-73.7849666666667,40.7730444444444,1,581,Bayside Fields,Operational,552.072585722206,0
M256,-73.9650285714286,40.7524,1,420,MacArthur Playground,Operational,266.714995199064,1
M079,-73.95856,40.7653,1,364,St. Catherine's Park,Operational,93.5619537742927,1
