nta2020,ntaname,boroname,events_311,pred,resid_ratio,eb_p_gt_1_5,confident_six,in_29,residents,L2_residents,L2_streets,L2_subway,L3_residents,L3_ext_recov,L3_ext_recov_frac,L2_residents_400m,L3_residents_400m,L3_ext_recov_frac_400m,parks_restrooms_serving,n_long_term_closed,n_ltc_listed_operational,n_repeatedly_failing,max_res_share_one_broken,L4_lost_pp,L4_reopen_gain_pp,pip26_props,pip26_n_rated,pip26_fail_rate,flag_build,flag_fix,flag_extend,flags,primary_action,build_cands_in_reach,build_sites_needed,build_L2_after,build_target_reached,anyloc_sites,anyloc_L2_after,anyloc_target_reached,broken_names,street_m,subway_entries
MN0502,Midtown-Times Square,Manhattan,84,43.5519,1.9287,0.9669,TRUE,TRUE,23035,0,0.0018,0.0671,0.4757,0.1889,0.3972,0.1909,0.5064,0.4679,7,0,0,0,0,0,0,5,7,0.1429,FALSE,FALSE,FALSE,VERIFY,VERIFY,,,,,,,,"",25111.0735,130704468
MN0301,Chinatown-Two Bridges,Manhattan,27,14.8716,1.8155,0.654,FALSE,TRUE,38006,0,0,0,1,1,1,0,1,1,14,2,0,1,0.5835,0,0,9,11,0.2727,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Coleman Playground [long-term closed, 58%]; Alfred E. Smith Playground [failing, 45%]; Allen Street Malls [long-term closed, 11%]",494.6443,3851534
MN0203,West Village,Manhattan,60,33.6457,1.7833,0.8181,FALSE,TRUE,31913,0,0,0,0.4623,0.4213,0.9114,0,0.5942,0.8276,7,1,1,0,0.2844,0,0,4,8,0.25,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Downing Street Playground [long-term closed, 28%]",1854.6988,15362408
QN0402,Corona,Queens,54,30.8643,1.7496,0.7578,FALSE,TRUE,67341,0.0927,0,0,0.9073,0.9073,1,0.3155,0.6845,0.9475,11,2,2,1,0.3158,21.7448,0,7,7,0.4286,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Josephine Caminiti Playground [long-term closed, 32%]; Playground Sixty Two LXII [long-term closed, 11%]; Playground For All Children [failing, 12%]",984.245,5569769
MN0102,Tribeca-Civic Center,Manhattan,58,33.7074,1.7207,0.7387,FALSE,TRUE,22563,0.1223,0,0.1376,0.5292,0.4106,0.7759,0.2299,0.5504,0.5312,5,0,0,1,0.0107,0.3558,0,7,9,0.3333,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"Alfred E. Smith Playground [failing, 1%]",460.6535,31776719
QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,15,8.7592,1.7125,0.4391,FALSE,TRUE,25783,0.6962,,0.1836,0.3038,0.2747,0.9044,0.7622,0.2378,0.9007,6,1,0,0,0.1441,0,3.4616,4,4,0,TRUE,TRUE,FALSE,BUILD+FIX,BUILD,24,9,0.4303,FALSE,2,0.3169,TRUE,"Rockaway Beach 08b (PIP Q050-ZN08B) [long-term closed, 14%]",0,234326
QN0203,Woodside,Queens,47,27.5544,1.7057,0.6727,FALSE,TRUE,46947,0.3006,,0.74,0.6994,0.6466,0.9246,0.4995,0.5005,0.8581,3,0,0,0,0,0,0,3,4,0,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"",0,7826049
BK0401,Bushwick (West),Brooklyn,51,30.3155,1.6823,0.6592,FALSE,TRUE,52698,0.2224,,0,0.7776,0.7432,0.9558,0.3827,0.6173,0.8769,9,0,0,1,0.0216,0,0,9,10,0.3,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"Jesse Owens Playground [failing, 2%]",0,7801303
BK0204,Clinton Hill,Brooklyn,22,13.1953,1.6673,0.4742,FALSE,TRUE,29205,0.0094,,0,0.9906,0.9906,1,0.126,0.874,1,12,1,0,0,0.0403,0,0,11,13,0.1538,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"John Hancock Playground [long-term closed, 4%]",0,4666418
SI0101,St. George-New Brighton,Staten Island,5,3.0152,1.6583,0.2612,FALSE,TRUE,21009,0.4909,,,0.5091,0.294,0.5775,0.6639,0.3361,0.5527,1,0,0,0,0,0,0,1,2,0,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,19,1,0.2931,TRUE,1,0.2441,TRUE,"",0,0
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,Staten Island,4,2.4308,1.6456,0.2388,FALSE,TRUE,18170,0.4026,,,0.5974,0.5054,0.846,0.5758,0.4242,0.7688,4,1,0,0,0.2601,0,2.5092,3,3,0,TRUE,TRUE,TRUE,BUILD+FIX+EXTEND HOURS,BUILD,0,0,0.4026,FALSE,1,0.1786,TRUE,"Tappen Park [long-term closed, 26%]",0,0
BK0701,Windsor Terrace-South Slope,Brooklyn,13,7.9503,1.6352,0.3651,FALSE,TRUE,25036,0.2877,,0,0.5761,0.5761,1,0.4729,0.4608,1,6,0,0,0,0,0,0,7,13,0.0769,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"",0,2911984
BX0102,Melrose,Bronx,16,10.294,1.5543,0.3342,FALSE,TRUE,41043,0.0924,0,0,0.9076,0.9076,1,0.2242,0.7758,1,16,1,0,0,0.1503,0,0,15,17,0.0588,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Railroad Park [long-term closed, 15%]",79.7717,6760590
