nta2020,ntaname,boroname,events_311,pred,resid_ratio,eb_p_gt_1_5,confident_six,in_29,residents,L2_residents,L2_streets,L2_subway,L3_residents,L3_ext_recov,L3_ext_recov_frac,L2_residents_400m,L3_residents_400m,L3_ext_recov_frac_400m,parks_restrooms_serving,n_long_term_closed,n_ltc_listed_operational,n_repeatedly_failing,max_res_share_one_broken,L4_lost_pp,L4_reopen_gain_pp,pip26_props,pip26_n_rated,pip26_fail_rate,flag_build,flag_fix,flag_extend,flags,primary_action,build_cands_in_reach,build_sites_needed,build_L2_after,build_target_reached,anyloc_sites,anyloc_L2_after,anyloc_target_reached,broken_names,street_m,subway_entries
BX0303,Crotona Park East,Bronx,5,6.5768,0.7602,0.0228,FALSE,FALSE,29480,0.3423,,0.4123,0.6295,0.6295,1,0.6355,0.3645,1,11,1,0,0,0.0319,0,3.1906,9,9,0.1111,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"Crotona Malls Zone 1 [long-term closed, 3%]",0,2280864
BK1801,Flatlands,Brooklyn,10,13.2828,0.7529,0.0039,FALSE,FALSE,61589,0.5709,,,0.4291,0.3332,0.7766,0.6771,0.3229,0.763,7,1,1,0,0.1381,4.3323,0,7,9,0.2222,TRUE,TRUE,TRUE,BUILD+FIX+EXTEND HOURS,BUILD,,,,,,,,"Fox Playground [long-term closed, 14%]",0,0
MN0303,East Village,Manhattan,42,57.1654,0.7347,0,FALSE,FALSE,69437,0.018,0,0,0.9326,0.7773,0.8335,0.0844,0.8909,0.7017,12,2,1,2,0.197,1.3028,0,7,9,0.3333,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Houston St Playground [failing, 13%]; East River Park Zone 6 [long-term closed, 20%]; Baruch Playground [failing, 7%]; Allen Street Malls [long-term closed, 3%]",4331.0589,11906439
BX0503,Fordham Heights,Bronx,6,8.2831,0.7244,0.0118,FALSE,FALSE,30863,0.0272,0,0,0.9728,0.9728,1,0.1737,0.8263,0.9211,7,2,2,0,0.1591,0,0,4,4,0,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Aqueduct Walk Zone 2 [long-term closed, 16%]; Poe Park [long-term closed, 12%]",671.5391,4079403
BX1103,Pelham Gardens,Bronx,4,5.6066,0.7135,0.0243,FALSE,FALSE,27832,0.3318,,0,0.6682,0.6613,0.9897,0.4422,0.5578,0.9826,5,0,0,0,0,0,0,5,5,0,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"",0,1480339
QN0902,Richmond Hill,Queens,10,14.0734,0.7106,0.0021,FALSE,FALSE,32785,0.4242,,0.6791,0.5758,0.374,0.6495,0.6395,0.3605,0.6517,4,1,1,0,0.1821,18.2122,0,4,5,0.2,TRUE,TRUE,TRUE,BUILD+FIX+EXTEND HOURS,BUILD,,,,,,,,"Maurice A FitzGerald Playground [long-term closed, 18%]",0,1680866
SI0302,Great Kills-Eltingville,Staten Island,7,9.9534,0.7033,0.0063,FALSE,FALSE,58253,0.7954,,,0.1761,0.0963,0.5467,0.859,0.1204,0.5423,2,0,0,0,0,0,0,1,1,0,TRUE,FALSE,FALSE,BUILD,BUILD,,,,,,,,"",0,0
MN0501,Midtown South-Flatiron-Union Square,Manhattan,42,60.2766,0.6968,0,FALSE,FALSE,29148,0,0,0,0.7264,0.0161,0.0222,0.1366,0.7036,0,3,0,0,0,0,0,0,3,4,0,FALSE,FALSE,FALSE,VERIFY,VERIFY,,,,,,,,"",14158.84,99451701
QN0706,Queensboro Hill,Queens,3,4.3569,0.6886,0.0327,FALSE,FALSE,20405,0.4646,,,0.5354,0.5065,0.9461,0.6781,0.3219,0.9327,9,0,0,0,0,0,0,9,10,0.1,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,,,,,,,,"",0,0
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,Staten Island,5,7.2933,0.6856,0.0126,FALSE,FALSE,42159,0.8354,,,0.1646,0.0934,0.5675,0.909,0.091,0.5323,5,0,0,0,0,0,0,4,8,0.125,TRUE,FALSE,FALSE,BUILD,BUILD,,,,,,,,"",0,0
BK0302,Bedford-Stuyvesant (East),Brooklyn,25,36.5361,0.6843,0,FALSE,FALSE,92769,0.0275,0,0,0.9725,0.9233,0.9494,0.1618,0.8382,0.9044,22,0,0,4,0.1951,3.2612,0,23,27,0.2593,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Fulton Park [failing, 14%]; Marion Hopkinson Playground [failing, 3%]; Jesse Owens Playground [failing, 20%]; Hattie Carthan Playground [failing, 1%]",60.3124,9937488
MN0401,Chelsea-Hudson Yards,Manhattan,64,93.8359,0.682,0,FALSE,FALSE,62960,0.0914,0.0653,0,0.6508,0.4463,0.6858,0.3017,0.5527,0.7544,9,0,0,0,0,0,0,6,12,0.25,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"",15408.3348,40836768
MN1201,Washington Heights (South),Manhattan,28,41.3502,0.6771,0,FALSE,FALSE,76079,0.1384,0,0,0.8616,0.7118,0.8261,0.2484,0.7516,0.7512,9,0,0,1,0.1844,0,0,10,10,0.2,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Adventure Playground [failing, 18%]",675.1443,11150240
BK0801,Prospect Heights,Brooklyn,6,8.8711,0.6764,0.0072,FALSE,FALSE,23969,0,0,0,1,1,1,0.0694,0.9306,1,6,0,0,1,0.5552,0,0,5,6,0.3333,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Stroud Playground [failing, 56%]",42.9467,2326442
QN0602,Forest Hills,Queens,30,44.7726,0.6701,0,FALSE,FALSE,93621,0.1755,,0,0.8245,0.7059,0.8561,0.3063,0.6937,0.8343,13,1,1,1,0.1282,0,0,12,13,0.4615,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Playground Sixty Two LXII [long-term closed, 13%]; Playground For All Children [failing, 2%]",0,9006056
MN0601,Stuyvesant Town-Peter Cooper Village,Manhattan,4,6.0375,0.6625,0.0169,FALSE,FALSE,22040,0.4289,0.4238,,0.5711,0.523,0.9158,0.7154,0.2846,0.6619,4,1,1,0,0.0481,4.8103,0,2,2,0,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,,,,,,,,"East River Park Zone 6 [long-term closed, 5%]",550.0084,0
BK1401,Flatbush,Brooklyn,17,25.7916,0.6591,0,FALSE,FALSE,65759,0.4606,0,0,0.5192,0.0841,0.1619,0.5807,0.4193,0.1184,4,0,0,0,0,0,0,3,3,0,TRUE,FALSE,FALSE,BUILD,BUILD,,,,,,,,"",130.8169,4169321
MN1202,Washington Heights (North),Manhattan,31,48.0375,0.6453,0,FALSE,FALSE,74030,0.016,0,0,0.7774,0.7387,0.9502,0.2043,0.6613,0.8456,11,1,0,1,0.0978,1.5971,0,9,11,0.2727,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"Anne Loftus Playground [failing, 10%]; Payson Playground [long-term closed, 4%]",953.8638,10564438
BK1803,Canarsie,Brooklyn,13,20.3838,0.6378,0.0001,FALSE,FALSE,76746,0.2582,,0,0.7418,0.6508,0.8773,0.4208,0.5792,0.8183,12,2,2,0,0.0387,3.4417,0,12,14,0.2143,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"Breukelen Playground [long-term closed, 4%]; Fox Playground [long-term closed, 1%]",0,2266453
BX0403,Mount Eden-Claremont (West),Bronx,6,9.4081,0.6377,0.0046,FALSE,FALSE,48394,0.0678,,0,0.3803,0.3582,0.9418,0.2262,0.3963,0.718,4,0,0,2,0.2638,0,0,5,7,0.5714,FALSE,TRUE,FALSE,FIX,FIX,,,,,,,,"Claremont Zone 1 [failing, 26%]; Nelson Playground [failing, 1%]",0,3817300
