nta2020,ntaname,boroname,events_311,pred,resid_ratio,eb_p_gt_1_5,confident_six,residents,street_m,subway_entries,L2_residents,L3_residents,L3_ext_recov,cov21_not14,L2_streets,L2_subway,L2_residents_400m,L3_residents_400m,L3_ext_recov_400m,cov21_not14_400m,L2_streets_400m,L2_subway_400m,L3_ext_recov_frac,L3_ext_recov_frac_400m,parks_restrooms_serving,n_long_term_closed,n_ltc_listed_operational,n_repeatedly_failing,max_res_share_one_broken,broken_names,L2_residents_strict,L4_lost_pp,L4_reopen_gain_pp,pip26_props,pip26_n_rated,pip26_fail_rate,in_29,flag_build,flag_fix,flag_extend,primary_action,flags,build_cands_in_reach,build_sites_needed,build_L2_after,build_target_reached,anyloc_sites,anyloc_L2_after,anyloc_target_reached,fix_gain_pp,L2_after_fix,final_fix,final_build,final_extend,final_action,final_label,build_signal,display_action
SI0101,St. George-New Brighton,Staten Island,5,3.01516086226582,1.65828631651932,0.261238815067814,FALSE,21009,0,0,0.490918810353338,0.509081189646661,0.29398564451399,0,,,0.663924813940878,0.336075186059122,0.18574362791127,0,,,0.577482826890612,0.552684743224674,1,0,0,0,0,"",0.490918810353338,0,0,1,2,0,TRUE,TRUE,FALSE,TRUE,BUILD,BUILD+EXTEND HOURS,19,1,0.293111144174974,TRUE,1,0.244078243935448,TRUE,0,0.491,FALSE,TRUE,TRUE,BUILD,BUILD,weaker,"BUILD, VERIFY FIRST"
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,Staten Island,4,2.43078714738186,1.64555749124653,0.238805223452729,FALSE,18170,0,0,0.402570914337563,0.597429085662437,0.505425634770709,0,,,0.575791325172173,0.424208674827827,0.326111276383703,0,,,0.846001051673415,0.768752021669669,4,1,0,0,0.26012033497449,"Tappen Park [long-term closed, 26%]",0.402570914337563,0,2.50918502431987,3,3,0,TRUE,TRUE,TRUE,TRUE,BUILD,BUILD+FIX+EXTEND HOURS,0,0,0.402570914337563,FALSE,1,0.178599116452721,TRUE,2.5,0.403,FALSE,TRUE,TRUE,BUILD,BUILD,weaker,"BUILD, VERIFY FIRST"
QN0302,East Elmhurst,Queens,36,10.2883493856964,3.49910356369213,0.99971326076398,TRUE,29093,0,0,0.143915556410514,0.679928412674579,0.405128996628535,0,,,0.290802599807569,0.587860302430592,0.288475161511405,0,,,0.595840663629442,0.490720602018308,5,0,0,1,0.289001127018863,"Helen Marshall Playground [failing, 29%]",0.183553448177784,3.963789176727,0,5,7,0.285714285714286,TRUE,FALSE,TRUE,TRUE,FIX,FIX+EXTEND HOURS,,,,,,,,4,0.144,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,EXTEND HOURS
BX1201,Williamsbridge-Olinville,Bronx,39,13.1155729517551,2.97356433786456,0.998638076216621,TRUE,57663,0,3035680,0.220164012630586,0.779835987369414,0.779835987369414,0,,0,0.328941216616156,0.671058783383844,0.671058783383844,0,,0,1,1,11,1,0,1,0.1153278532161,"Rosewood Playground [failing, 12%]; Zimmerman Playground [long-term closed, 2%]",0.220164012630586,0,0,9,9,0.222222222222222,TRUE,FALSE,TRUE,TRUE,FIX,FIX+EXTEND HOURS,,,,,,,,0,0.22,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,EXTEND HOURS
BX0201,Hunts Point,Bronx,5,2.14791651125483,2.32783721983633,0.402921109564233,FALSE,14219,0,0,0.0399306500487713,0.960069349951229,0.924880670994414,0,,,0.209048173448264,0.790951826551736,0.560946658940732,0,,,0.963347773826336,0.709204581252763,8,1,0,0,0.426854530221351,"Monsignor Raul Del Valle Square [long-term closed, 43%]",0.0399306500487713,0,0,7,8,0.25,TRUE,FALSE,TRUE,TRUE,FIX,FIX+EXTEND HOURS,,,,,,,,0,0.04,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,EXTEND HOURS
BK0201,Brooklyn Heights,Brooklyn,24,11.3644944609645,2.11184052950501,0.811195120043977,FALSE,26031,184.053140478447,1724293,0.0501997618224425,0.556250011433255,0.430750606877148,0,0,0,0.0985850661573838,0.584713250928533,0.409959386031185,0,0,0,0.77438309757021,0.701128947189351,6,0,0,0,0,"",0.0501997618224425,0,0,4,4,0,TRUE,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,0,0.05,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,EXTEND HOURS
QN1401,Far Rockaway-Bayswater,Queens,50,25.2597483427759,1.97943381388832,0.917468349562107,FALSE,62827,0,1078182,0.265805487616261,0.624700249114263,0.473317231300026,0,,0.185703341365372,0.484304082523847,0.454933044513767,0.334307768859217,0,,0.185703341365372,0.757670950141486,0.734850486001794,8,2,2,0,0.0830666787805127,"Bayswater Playground [long-term closed, 8%]; Arverne East Nature Preserve [long-term closed, 2%]",0.345049845936841,7.92443583205795,0,7,10,0.1,TRUE,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,7.9,0.266,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,EXTEND HOURS
MN0301,Chinatown-Two Bridges,Manhattan,27,14.8716115681329,1.81553961897821,0.653989785294928,FALSE,38006,494.644277164882,3851534,0,1,1,0,0,0,0,1,1,0,0,0,1,1,14,2,0,1,0.583469276780859,"Coleman Playground [long-term closed, 58%]; Alfred E. Smith Playground [failing, 45%]; Allen Street Malls [long-term closed, 11%]",0,0,0,9,11,0.272727272727273,TRUE,FALSE,TRUE,TRUE,FIX,FIX+EXTEND HOURS,,,,,,,,0,0,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,EXTEND HOURS
MN0203,West Village,Manhattan,60,33.6456700258986,1.78329038933733,0.818050758658837,FALSE,31913,1854.69880571175,15362408,0,0.462308239812705,0.42132964174922,0,0,0,0,0.594196722338858,0.491750227180146,0,0.0739517130842202,0,0.911360874553984,0.827588252665774,7,1,1,0,0.284377392106217,"Downing Street Playground [long-term closed, 28%]",0,0,0,4,8,0.25,TRUE,FALSE,TRUE,TRUE,FIX,FIX+EXTEND HOURS,,,,,,,,0,0,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,EXTEND HOURS
MN0102,Tribeca-Civic Center,Manhattan,58,33.7074468474785,1.72068802073447,0.738718642313798,FALSE,22563,460.653477733377,31776719,0.122338932470564,0.529206706071485,0.410604113196853,0,0,0.137578363581212,0.229908214670879,0.550443097950078,0.292401439509537,0,0,0.184674509662247,0.775886073411529,0.531211019991853,5,0,0,1,0.0106748722624271,"Alfred E. Smith Playground [failing, 1%]",0.125897223224706,0.355829075414238,0,7,9,0.333333333333333,TRUE,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,0.4,0.122,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,EXTEND HOURS
QN0203,Woodside,Queens,47,27.5543855908509,1.70571758332386,0.672732281049514,FALSE,46947,0,7826049,0.300630730591751,0.69936926940825,0.64662356626955,0,,0.740045711443923,0.499528004177502,0.500471995822498,0.429440682411479,0,,0.740045711443923,0.924581039736949,0.858071352635261,3,0,0,0,0,"",0.300630730591751,0,0,3,4,0,TRUE,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,0,0.301,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,EXTEND HOURS
BK0401,Bushwick (West),Brooklyn,51,30.3155004799995,1.68230770373219,0.659236045632971,FALSE,52698,0,7801303,0.222421018959787,0.777578981040213,0.743184073128284,0,,0,0.38270414165894,0.617295858341059,0.541298937883249,0,,0.882183783914046,0.955766669688117,0.876887363764197,9,0,0,1,0.0216213139018559,"Jesse Owens Playground [failing, 2%]",0.222421018959787,0,0,9,10,0.3,TRUE,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,0,0.222,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,EXTEND HOURS
BK0204,Clinton Hill,Brooklyn,22,13.1953003974943,1.66726026215952,0.474235181035096,FALSE,29205,0,4666418,0.00942864702494904,0.990571352975051,0.990571352975051,0,,0,0.125971394923629,0.874028605076371,0.874028605076371,0,,0,1,1,12,1,0,0,0.0402899046966844,"John Hancock Playground [long-term closed, 4%]",0.00942864702494904,0,0,11,13,0.153846153846154,TRUE,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,0,0.009,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,EXTEND HOURS
BK0701,Windsor Terrace-South Slope,Brooklyn,13,7.9503277000613,1.63515272457257,0.365056760877227,FALSE,25036,0,2911984,0.287656646224309,0.57614947296406,0.57614947296406,0,,0,0.472864247644564,0.460784631303085,0.460784631303085,0,,0.50742620838576,1,1,6,0,0,0,0,"",0.287656646224309,0,0,7,13,0.0769230769230769,TRUE,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,0,0.288,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,EXTEND HOURS
BX0102,Melrose,Bronx,16,10.2939739948492,1.55430740431305,0.334155812302095,FALSE,41043,79.7716553388042,6760590,0.0924075667150004,0.907592433285,0.907592433285,0,0,0,0.224176863914456,0.775823136085544,0.775823136085544,0,0,0,1,1,16,1,0,0,0.150304084875754,"Railroad Park [long-term closed, 15%]",0.0924075667150004,0,0,15,17,0.0588235294117647,TRUE,FALSE,TRUE,TRUE,FIX,FIX+EXTEND HOURS,,,,,,,,0,0.092,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,EXTEND HOURS
BK1303,Brighton Beach,Brooklyn,24,6.23739519726342,3.84776004100713,0.996890423007415,TRUE,28327,0,3242354,0.51672306582816,0.48327693417184,0.467122734997907,0,,0,0.593877875222529,0.406122124777471,0.389967925603538,0,,0,0.966573618495542,0.96022329691399,7,4,1,0,0.348390228403996,"Asser Levy Park [long-term closed, 4%]; Grady Playground [long-term closed, 31%]; Coney Island Beach Zone 4a (PIP B169-ZN04A) [long-term closed, 3%]; Coney Island Beach Zone 1b (PIP B169-ZN01B) [long-term closed, 35%]",0.51672306582816,0,33.16911175103,4,4,0,TRUE,TRUE,TRUE,TRUE,BUILD,BUILD+FIX+EXTEND HOURS,13,1,0.300637705571161,TRUE,1,0.109993998658524,TRUE,33.2,0.185,TRUE,FALSE,TRUE,FIX,FIX,,FIX
MN1102,East Harlem (North),Manhattan,99,33.0479558038935,2.9956467076955,0.999999989124231,TRUE,63246,2035.08246055234,9055398,0.0842543401954274,0.915745659804573,0.874862360810089,0,0,0.346873654807884,0.269032824210227,0.730967175789773,0.636642471359291,0,0.0971214212927842,0.346873654807884,0.955355181259381,0.870959042273589,15,1,1,3,0.315792478751401,"Marcus Garvey Park Zone 1 [long-term closed, 12%]; Alice Kornegay Triangle [failing, 22%]; Poor Richard's Playground [failing, 15%]; P.S. 155 Playground [failing, 32%]",0.271101968177672,18.6847627982245,0,14,18,0.222222222222222,TRUE,FALSE,TRUE,TRUE,FIX,FIX+EXTEND HOURS,,,,,,,,18.7,0.084,TRUE,FALSE,TRUE,FIX,FIX,,FIX
QN0402,Corona,Queens,54,30.86434466617,1.7495916593748,0.757811992863019,FALSE,67341,984.245036345224,5569769,0.0927369655930265,0.907263034406974,0.907263034406974,0,0,0,0.315515347969574,0.684484652030427,0.64857166192534,0,0,0,1,0.947532804426577,11,2,2,1,0.315795107487761,"Josephine Caminiti Playground [long-term closed, 32%]; Playground Sixty Two LXII [long-term closed, 11%]; Playground For All Children [failing, 12%]",0.310184978938042,21.7448013345015,0,7,7,0.428571428571429,TRUE,FALSE,TRUE,TRUE,FIX,FIX+EXTEND HOURS,,,,,,,,21.7,0.093,TRUE,FALSE,TRUE,FIX,FIX,,FIX
MN0502,Midtown-Times Square,Manhattan,84,43.5518773566369,1.92873430718364,0.966934907065072,TRUE,23035,25111.0734903075,130704468,0,0.475712425191479,0.188939191912928,0,0.00181876281470491,0.0670832538027698,0.190902043474216,0.506405366574674,0.236965487301932,0,0.143093273276872,0.473004296991592,0.397171025829056,0.467936366679458,7,0,0,0,0,"",0,0,0,5,7,0.142857142857143,TRUE,FALSE,FALSE,FALSE,VERIFY,VERIFY,,,,,,,,0,0,FALSE,FALSE,FALSE,VERIFY,VERIFY,,LOOK ELSEWHERE
