type;statut;adresse;arrondissement;horaire;acces_pmr;relais_bebe;url_fiche_equipement;geo_shape;geo_point_2d
WC;En service;1 place de la porte maillot;75016;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-alexandre-et-rene-parodi-2752;"{""coordinates"": [2.281006175261719, 48.87626369017988], ""type"": ""Point""}";48.87626369017988, 2.281006175261719
Sanisette;En service;2 rue polonceau;75018;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.354958999429904, 48.8851019996426], ""type"": ""Point""}";48.8851019996426, 2.354958999429904
Sanisette;En service;2 rue montcalm;75018;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.335235000035163, 48.89179399983482], ""type"": ""Point""}";48.89179399983482, 2.335235000035163
Sanisette;En service;25 rue du tunnel;75019;24/24h;Oui;Non;;"{""coordinates"": [2.3844280005447898, 48.87937300037187], ""type"": ""Point""}";48.87937300037187, 2.3844280005447898
WC;En service;50 avenue gambetta;75020;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-edouard-vaillant-2691;"{""coordinates"": [2.399921131428531, 48.86624979610642], ""type"": ""Point""}";48.86624979610642, 2.399921131428531
WC;En service;22 rue pajol;75018;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/jardins-rosa-luxemburg-17580;"{""coordinates"": [2.3635013194466503, 48.88975238964436], ""type"": ""Point""}";48.88975238964436, 2.3635013194466503
Sanisette;En service;7 pl django reinhardt;75018;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3437689999932854, 48.900789000131866], ""type"": ""Point""}";48.900789000131866, 2.3437689999932854
Sanisette;En service;5 pl albert kahn;75018;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3459840001934857, 48.895789999814355], ""type"": ""Point""}";48.895789999814355, 2.3459840001934857
Sanisette;En service;83 rue de la chapelle;75018;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3590869996795547, 48.89728300032829], ""type"": ""Point""}";48.89728300032829, 2.3590869996795547
WC;En service;45 rue des couronnes;75020;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/jardin-des-couronnes-2748;"{""coordinates"": [2.385561775235243, 48.87045899931411], ""type"": ""Point""}";48.87045899931411, 2.385561775235243
WC;En service;2 place emile male;75005;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-des-arenes-de-lutece-et-square-capitan-1760;"{""coordinates"": [2.3532438534336686, 48.845456223644945], ""type"": ""Point""}";48.845456223644945, 2.3532438534336686
Sanisette;En service;4 rue poliveau;75005;24/24h;Oui;Non;;"{""coordinates"": [2.361277999417304, 48.84038899996341], ""type"": ""Point""}";48.84038899996341, 2.361277999417304
Sanisette;En service;5 bd de clichy;75009;24/24h;Oui;Non;;"{""coordinates"": [2.339160999797763, 48.882071999650535], ""type"": ""Point""}";48.882071999650535, 2.339160999797763
Sanisette;En service;65 bd de clichy;75009;24/24h;Oui;Non;;"{""coordinates"": [2.331781000436028, 48.883961999565514], ""type"": ""Point""}";48.883961999565514, 2.331781000436028
Sanisette;En service;21 rue de saint-quentin;75010;06h00 - 22h00;Non;Non;;"{""coordinates"": [2.3555700002109496, 48.87826000013855], ""type"": ""Point""}";48.87826000013855, 2.3555700002109496
Sanisette;En service;2 rue de metz;75010;24/24h;Oui;Non;;"{""coordinates"": [2.354575000128536, 48.87075900013074], ""type"": ""Point""}";48.87075900013074, 2.354575000128536
WC;En service;28 rue de la forge royale;75011;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-louis-majorelle-2733;"{""coordinates"": [2.3809239992368436, 48.851992478470365], ""type"": ""Point""}";48.851992478470365, 2.3809239992368436
Sanisette;En service;9b bd jules ferry;75011;08h00 - 19h30;Oui;Non;;"{""coordinates"": [2.368349000020222, 48.867270999745976], ""type"": ""Point""}";48.867270999745976, 2.368349000020222
Sanisette;En service;2 av de bouvines;75011;24/24h;Oui;Non;;"{""coordinates"": [2.3962630006286507, 48.849558000107436], ""type"": ""Point""}";48.849558000107436, 2.3962630006286507
Sanisette;En service;283 rue de charenton;75012;00h00 - 01h00;Oui;Non;;"{""coordinates"": [2.3935230005132726, 48.8347220001264], ""type"": ""Point""}";48.8347220001264, 2.3935230005132726
Sanisette;En service;18 rue erard;75012;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3849130003823196, 48.845600999856394], ""type"": ""Point""}";48.845600999856394, 2.3849130003823196
Sanisette;En service;146 bd de l'hopital;75013;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.356165999891942, 48.83259000023232], ""type"": ""Point""}";48.83259000023232, 2.356165999891942
Sanisette;En service;15 v bd auguste blanqui;75013;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.353364999561522, 48.83064100039682], ""type"": ""Point""}";48.83064100039682, 2.353364999561522
Sanisette;En service;117 bd vincent auriol;75013;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.365073999519075, 48.8337069998535], ""type"": ""Point""}";48.8337069998535, 2.365073999519075
Sanisette;En service;92 rue de tolbiac;75013;06h00 - 23h59;Oui;Non;;"{""coordinates"": [2.364581000006739, 48.826838999890526], ""type"": ""Point""}";48.826838999890526, 2.364581000006739
WC;En service;47 rue gandon;75013;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/jardin-joan-miro-2563;"{""coordinates"": [2.361947467270594, 48.81990547173018], ""type"": ""Point""}";48.81990547173018, 2.361947467270594
