park_name;type;location;geo_local_area;summer_hours;winter_hours;wheelchair_access;note;geom;geo_point_2d
McBride Park;Park - Field House;Central, field house;Kitsilano;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.18014096216841, 49.26810696562739], ""type"": ""Point""}";49.26810696562739, -123.18014096216841
Memorial West Park;Park - Field House;Central, field house;Dunbar-Southlands;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.1884550035118, 49.2433349838613], ""type"": ""Point""}";49.2433349838613, -123.1884550035118
Moberly Park;Park - Field House;South west corner at Community Hall;Sunset;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.08735497868791, 49.21525299478923], ""type"": ""Point""}";49.21525299478923, -123.08735497868791
Nanaimo Park;Park - Field House;North side, fieldhouse;Victoria-Fraserview;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.05742904218603, 49.22824199783262], ""type"": ""Point""}";49.22824199783262, -123.05742904218603
Norquay Park;Park - Field House;West side, field house;Renfrew-Collingwood;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.05142495965826, 49.23797498982322], ""type"": ""Point""}";49.23797498982322, -123.05142495965826
Quilchena Park;Park - Field House;North east corner, fieldhouse;Arbutus Ridge;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.14872394440481, 49.24464304772313], ""type"": ""Point""}";49.24464304772313, -123.14872394440481
Slocan Park;Park - Field House;North side;Renfrew-Collingwood;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.04795201778296, 49.24443797709505], ""type"": ""Point""}";49.24443797709505, -123.04795201778296
Sunrise Park;Park - Field House;North west corner, fieldhouse;Hastings-Sunrise;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.0360179829702, 49.26692299064806], ""type"": ""Point""}";49.26692299064806, -123.0360179829702
Sunset Beach Park;Park - Field House;Concession;West End;Dawn to Dusk;7:00 am - Dusk;Yes;;"{""coordinates"": [-123.1379500438107, 49.27883701378158], ""type"": ""Point""}";49.27883701378158, -123.1379500438107
Trafalgar Park;Park - Field House;North side, fieldhouse;Arbutus Ridge;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.16347197280245, 49.25155496544428], ""type"": ""Point""}";49.25155496544428, -123.16347197280245
Vanier Park;Park - Field House;Burrard Civic Marina;Kitsilano;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.13985594322915, 49.275196010470154], ""type"": ""Point""}";49.275196010470154, -123.13985594322915
Woodland Park;Park - Field House;Central, field house;Grandview-Woodland;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.07322000486613, 49.278368970968174], ""type"": ""Point""}";49.278368970968174, -123.07322000486613
