name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at
Parque Ninos Unidos Clubhouse,423313379263490907,restroom,0,0,0,0,37.75435242939482,-122.41391608032227,3070 23rd St,San Francisco,CA,94110,Parque Ninos Unidos,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.41391608 37.754352429),9,Mission,2026/02/05 08:11:25 PM,2026/09/01 09:08:33 AM
Telegraph Hill - Pioneer Park - Drinking Fountain/Cooler,6147790248896235250,drinking_water,1,0,0,0,37.80227028,-122.40594449,1 Telegraph Hill Blvd,San Francisco,CA,94133,Telegraph Hill - Pioneer Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.405944489 37.802270277),3,North Beach,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Rossi Pool,4992873192328291991,restroom,0,0,0,0,37.779064615692306,-122.45837510367008,600 Arguello Blvd,San Francisco,CA,94118,Angelo J. Rossi Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.458375104 37.779064616),1,Lone Mountain/USF,2026/02/05 08:11:25 PM,2026/09/01 09:08:33 AM
South Restrooms,709146778819532938,restroom,0,0,0,0,37.766805200248804,-122.46835847681007,501 Stanyan St,San Francisco,CA,94122,Golden Gate Park - Section 3,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.468358477 37.7668052),7,Golden Gate Park,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
McCoppin Square Clubhouse,341541798497557024,restroom,0,0,0,0,37.74355164651316,-122.48070840165799,2354 24th Ave,San Francisco,CA,94116,McCoppin Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.480708402 37.743551647),4,Sunset/Parkside,2026/02/05 08:11:25 PM,2026/09/01 09:08:33 AM
Southeast Community Center Restroom,2641768654156405405,restroom,0,0,0,0,37.7428,-122.387319,1550 Evans Ave,San Francisco,CA,94124,,limited_access,07:00:00,19:00:00,Weekdays,,puc,POINT (-122.387319 37.7428),10,Bayview Hunters Point,2024/06/27 01:43:12 PM,2026/09/01 09:08:33 AM
West Portal Playground - Drinking Fountain/Cooler,1537844955819141493,drinking_water,1,1,0,0,37.74195626,-122.46517038,131 Lenox Way,San Francisco,CA,94127,West Portal Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.465170381 37.741956263),7,West of Twin Peaks,2026/03/19 10:44:21 PM,2026/09/01 09:08:33 AM
Drinking fountain,932585928060100416,drinking_water,1,0,0,0,37.77042302437,-122.469470101313,,San Francisco,CA,,Golden Gate Park - Section 3,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.469470101 37.770423024),7,Golden Gate Park,2026/08/07 11:25:35 AM,2026/09/01 09:08:33 AM
Golden Gate Park - Section 1 - Stanyan Edge Courtyard Drinking Fountain,2510993658053804211,drinking_water,1,0,0,0,37.76998547,-122.45421166,501 Stanyan St,San Francisco,CA,94117,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.45421166 37.769985472),5,Golden Gate Park,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
TNDC: Candlestick Block A,8119082390481302510,drinking_water,0,1,1,0,37.719071,-122.393147,1001 Ingerson Ave,San Francisco,CA,94124,,publicly_accessible,,,Daily,,puc,POINT (-122.393147 37.719071),10,Bayview Hunters Point,2024/06/27 01:43:12 PM,2026/09/01 09:08:33 AM
Noe Square Restrooms,4386513455603161526,restroom,0,0,0,0,37.75150431521131,-122.42887877033297,3861 24th St,San Francisco,CA,94114,Noe Valley Town Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.42887877 37.751504315),8,Noe Valley,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
Peixotto Clubhouse,3794976240319233035,restroom,0,0,0,0,37.765610320043734,-122.43757488678622,2475 15th St,San Francisco,CA,94114,Peixotto Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.437574887 37.76561032),8,Castro/Upper Market,2026/02/05 08:11:25 PM,2026/09/01 09:08:33 AM
West Restroom,8593550973827787120,restroom,0,0,0,0,37.725150610910234,-122.44552971671762,51 Havelock St,San Francisco,CA,94112,Balboa Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.445529717 37.725150611),11,Outer Mission,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
Sunnyside Playground - Drinking Fountain/Cooler,6934480971276948310,drinking_water,1,0,0,0,37.733856370000005,-122.44819921,233 Melrose Avenue,San Francisco,CA,94127,Sunnyside Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.448199209 37.73385637),7,West of Twin Peaks,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
John McLaren Park - McLaren Redwood Grove Drinking Fountain,5749129038882289982,drinking_water,1,1,0,0,37.72209608,-122.42064774999999,100 John F Shelley Dr,San Francisco,CA,94134,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.420647751 37.722096079),9,McLaren Park,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Camp Mather - Staff cabins spigot,4114211593901248130,drinking_water,1,0,0,0,37.88024248,-119.85078276,32560 Mather Road,San Francisco,CA,95321,Camp Mather,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-119.850782764 37.880242479),,,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Matthew Boxer Stadium,8899937437357167847,restroom,0,0,0,0,37.72617626930988,-122.44515609341131,51 Havelock St,San Francisco,CA,94112,Balboa Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.445156093 37.726176269),11,Outer Mission,2026/02/05 08:11:25 PM,2026/09/01 09:08:33 AM
Alice Chalmers Clubhouse,4826729406713278563,restroom,0,0,0,0,37.70950407679697,-122.44706569537554,670 Brunswick St,San Francisco,CA,94112,Alice Chalmers Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.447065695 37.709504077),11,Excelsior,2026/02/05 08:11:25 PM,2026/09/01 09:08:33 AM
Golden Gate Park - Section 5 - Drinking Fountain/Cooler,1201331645591453201,drinking_water,1,0,0,0,37.77163407,-122.49513617999999,501 Stanyan St,San Francisco,CA,94122,Golden Gate Park - Section 5,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.495136183 37.771634074),1,Golden Gate Park,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Mid-Market Pit Stop - Hallidie Plaza (JCDecaux),3464628251007818350,restroom,0,0,0,0,37.7844142,-122.4077797,Hallidie Plaza (JCDecaux),San Francisco,CA,,,publicly_accessible,07:00:00,19:00:00,Daily,,pit_stop,POINT (-122.4077797 37.7844142),3,Tenderloin,2026/09/01 09:05:57 AM,2026/09/01 09:08:33 AM
