"month","station_complex_id","station_complex","borough","ridership","transfers","latitude","longitude","georeference.type","georeference.coordinates"
"2026-07-01T00:00:00.000","173","High St (A,C)","Brooklyn","298971.0","2175.0","40.699337","-73.99053","Point","c(-73.99053, 40.699337)"
"2026-07-01T00:00:00.000","175","Hoyt-Schermerhorn Sts (A,C,G)","Brooklyn","263649.0","3392.0","40.688484","-73.985","Point","c(-73.985, 40.688484)"
"2026-07-01T00:00:00.000","176","Lafayette Av (C)","Brooklyn","116461.0","1510.0","40.68611","-73.973946","Point","c(-73.973946, 40.68611)"
"2026-07-01T00:00:00.000","177","Clinton-Washington Avs (C)","Brooklyn","166426.0","1406.0","40.68326","-73.965836","Point","c(-73.965836, 40.68326)"
"2026-07-01T00:00:00.000","179","Nostrand Av (A,C)","Brooklyn","380384.0","27551.0","40.68044","-73.950424","Point","c(-73.950424, 40.68044)"
"2026-07-01T00:00:00.000","180","Kingston-Throop Avs (C)","Brooklyn","134439.0","3309.0","40.67992","-73.94086","Point","c(-73.94086, 40.67992)"
"2026-07-01T00:00:00.000","181","Utica Av (A,C)","Brooklyn","291821.0","41400.0","40.679363","-73.93073","Point","c(-73.93073, 40.679363)"
"2026-07-01T00:00:00.000","182","Ralph Av (C)","Brooklyn","112947.0","5658.0","40.67882","-73.920784","Point","c(-73.920784, 40.67882)"
"2026-07-01T00:00:00.000","183","Rockaway Av (C)","Brooklyn","95339.0","3920.0","40.67834","-73.91195","Point","c(-73.91195, 40.67834)"
"2026-07-01T00:00:00.000","185","Liberty Av (C)","Brooklyn","53608.0","4644.0","40.67454","-73.896545","Point","c(-73.896545, 40.67454)"
"2026-07-01T00:00:00.000","186","Van Siclen Av (C)","Brooklyn","59457.0","183.0","40.67271","-73.89036","Point","c(-73.89036, 40.67271)"
"2026-07-01T00:00:00.000","187","Shepherd Av (C)","Brooklyn","51520.0","172.0","40.67413","-73.88075","Point","c(-73.88075, 40.67413)"
"2026-07-01T00:00:00.000","188","Euclid Av (A,C)","Brooklyn","150305.0","16082.0","40.675377","-73.87211","Point","c(-73.87211, 40.675377)"
"2026-07-01T00:00:00.000","189","Grant Av (A)","Brooklyn","100050.0","2604.0","40.677044","-73.86505","Point","c(-73.86505, 40.677044)"
"2026-07-01T00:00:00.000","190","80 St (A)","Queens","90339.0","1878.0","40.67937","-73.85899","Point","c(-73.85899, 40.67937)"
"2026-07-01T00:00:00.000","191","88 St (A)","Queens","46199.0","223.0","40.679844","-73.85147","Point","c(-73.85147, 40.679844)"
"2026-07-01T00:00:00.000","192","Rockaway Blvd (A)","Queens","113980.0","32635.0","40.680428","-73.84386","Point","c(-73.84386, 40.680428)"
"2026-07-01T00:00:00.000","193","104 St (A)","Queens","28089.0","286.0","40.68171","-73.837685","Point","c(-73.837685, 40.68171)"
"2026-07-01T00:00:00.000","194","111 St (A)","Queens","32488.0","3861.0","40.68433","-73.83216","Point","c(-73.83216, 40.68433)"
"2026-07-01T00:00:00.000","195","Ozone Park-Lefferts Blvd (A)","Queens","97301.0","19491.0","40.68595","-73.8258","Point","c(-73.8258, 40.68595)"
