"nta2020","ntaname","n_tracts","boroname","n_boroughs","pop_total","households","pop_65plus","pop_disabled","pov_below","pov_universe","dis_universe","med_hh_income_hhwtd","inc_tracts_used","poverty_rate","pct_65plus","disability_rate"
"BX0801","Kingsbridge Heights-Van Cortlandt Village",6,"Bronx",1,33261,13295,5525,4682,7008,32504,32460,62573,6,0.215604233325129,0.166110459697544,0.144239063462723
"BX0802","Kingsbridge-Marble Hill",5,"Bronx",1,24004,9303,3430,4747,6744,23835,23844,50515,5,0.282945248584015,0.142892851191468,0.199085723871834
"BX0803","Riverdale-Spuyten Duyvil",14,"Bronx",1,47430,20096,13647,6548,2817,43481,45373,108322,13,0.0647869184241393,0.287729285262492,0.144314900932273
"BX0901","Soundview-Bruckner-Bronx River",15,"Bronx",1,67869,24895,8431,8901,22245,67340,67678,42210,15,0.33033858033858,0.124224609173555,0.13151984396702
"BX0902","Soundview-Clason Point",8,"Bronx",1,35612,13149,6482,6887,7764,35071,35382,60080,8,0.221379487325711,0.182017297540155,0.194646995647504
"BX0903","Castle Hill-Unionport",9,"Bronx",1,35838,12870,6251,6442,8652,35624,35829,57830,9,0.242869975297552,0.174423795970757,0.179798487258924
"BX0904","Parkchester",5,"Bronx",1,29460,12480,4529,3787,6190,29272,29445,61589,5,0.211464881115059,0.153733876442634,0.128612667685515
"BX0991","Soundview Park",1,"Bronx",1,105,0,0,14,78,105,105,NA,NA,0.742857142857143,0,0.133333333333333
"BX1001","Westchester Square",5,"Bronx",1,14680,5148,2063,1730,3493,14434,14436,57101,5,0.24199806013579,0.140531335149864,0.119839290662233
"BX1002","Throgs Neck-Schuylerville",14,"Bronx",1,47903,17284,7487,7645,6675,46241,47685,82192,14,0.144352414523907,0.156295012838444,0.160322952710496
"BX1003","Pelham Bay-Country Club-City Island",6,"Bronx",1,28351,11597,5624,4543,3514,28111,28143,81525,6,0.125004446657892,0.198370427850869,0.161425576519916
"BX1004","Co-op City",7,"Bronx",1,36000,16716,9811,5511,3890,35313,35321,62754,7,0.110157732279897,0.272527777777778,0.156026160074743
"BX1071","Hart Island",1,"Bronx",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"BX1091","Ferry Point Park-St. Raymond Cemetery",1,"Bronx",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"BX1101","Pelham Parkway-Van Nest",9,"Bronx",1,28955,10894,3259,4164,5921,28776,28872,65945,9,0.205761745899361,0.112553963046106,0.144222776392352
"BX1102","Morris Park",10,"Bronx",1,23701,8815,4007,2659,2618,22859,23282,80967,10,0.11452819458419,0.16906459643053,0.114208401340091
"BX1103","Pelham Gardens",10,"Bronx",1,27832,9181,5734,2905,3679,26179,26209,89594,10,0.140532487871958,0.206021845357861,0.110839787859132
"BX1104","Allerton",9,"Bronx",1,33067,14011,5481,5155,8667,32457,32538,44113,9,0.267030224604862,0.165754377476033,0.158430143217161
"BX1161","Hutchinson Metro Center",1,"Bronx",1,374,0,118,32,107,135,135,NA,NA,0.792592592592593,0.315508021390374,0.237037037037037
"BX1201","Williamsbridge-Olinville",20,"Bronx",1,57663,21433,8320,8574,14755,56623,57306,57055,19,0.260583155254932,0.144286630941852,0.149617841063763
"BX1202","Eastchester-Edenwald-Baychester",12,"Bronx",1,51213,17506,8259,7884,10180,50176,50142,70558,11,0.202885841836735,0.161267646886533,0.157233456982171
"BX1203","Wakefield-Woodlawn",16,"Bronx",1,49552,18594,8769,7874,8587,49001,49265,85993,16,0.175241321605682,0.176965611882467,0.159829493555262
"BX1271","Woodlawn Cemetery",1,"Bronx",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"BX2691","Van Cortlandt Park",1,"Bronx",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"BX2791","Bronx Park",1,"Bronx",1,32,8,0,13,2,32,32,NA,NA,0.0625,0,0.40625
"BX2891","Pelham Bay Park",2,"Bronx",1,154,31,1,20,16,154,154,NA,NA,0.103896103896104,0.00649350649350649,0.12987012987013
"MN0101","Financial District-Battery Park City",7,"Manhattan",1,48198,23144,3887,1730,2819,46415,48186,195573,7,0.0607346762899925,0.0806464998547658,0.0359025443074752
"MN0102","Tribeca-Civic Center",5,"Manhattan",1,22563,9638,3064,1476,1631,20861,22089,229813,5,0.0781841714203538,0.13579754465275,0.0668205894336548
