"alteration_year","bbl","bin","borough","public_restroom","construction_year","description","doitt_id","doitt_source","gispropnum","ground_elevation","height_roof","location","omppropid","parks_district","system","recreation_center","featurestatus","demolition_year","maintby","maintbyspec","multipolygon.type","multipolygon.coordinates"
"2001","3087600485","3425822","B",TRUE,"1936","Pat Parlato Playground Public Restroom","1283785","current","B251","9","0","Ocean Ave. & Oriental Blvd.","B251-04","B-15","B251-04-BLG1175",FALSE,"Active",,,,"MultiPolygon","[[[[-73.9462,40.577],[-73.9461,40.577],[-73.9462,40.5771],[-73.9462,40.577],[-73.9462,40.577]]]]"
,"1011110001","1090841","M",FALSE,,"Central Park-Zoo Complex-Visitor Services","1288658","current","M010","46","17","Wein Walk","M010-ZN01","M-13","M010-ZN01-BLG0715",FALSE,"Active",,,,"MultiPolygon","[[[[-73.9722,40.7675],[-73.9722,40.7674],[-73.972,40.7673],[-73.972,40.7674],[-73.9722,40.7675]]]]"
,"4124060180","4607453","Q",FALSE,"1999","Roy Wilkins Playground Shade Structure","1283780","current","Q448","23","12","Enter at Baisley Blvd. & 177th St.","Q448-99","Q-12","Q448-99-BLG0001",FALSE,"Active",,,,"MultiPolygon","[[[[-73.7701,40.6857],[-73.7701,40.6857],[-73.7701,40.6857],[-73.7701,40.6857],[-73.7701,40.6857]]]]"
,"4201269999","4618301","Q",FALSE,,"Beach 116 Street Public Restroom","1283779","current","Q050","12","0","Boardwalk @ Beach 116 Street","Q050-ZN08B","Q-14","Q050-BLG0324",FALSE,"Active",,,,"MultiPolygon","[[[[-73.8361,40.5777],[-73.836,40.5777],[-73.836,40.5777],[-73.836,40.5777],[-73.8359,40.5777],[-73.8359,40.5777],[-73.8359,40.5778],[-73.8361,40.5777]]]]"
"1983","1019570140","1090507","M",TRUE,"1948","St. Nicholas Playground at West 133rd St. Public Restroom","1283771","current","M077","45","14","St. Nicholas Avenue and W. 133rd Street","M077-02","M-09","M077-02-BLG1504",FALSE,"Active",,,,"MultiPolygon","[[[[-73.949,40.8156],[-73.949,40.8156],[-73.9491,40.8157],[-73.9491,40.8156],[-73.949,40.8156]]]]"
,"4039140001","4095654","Q",TRUE,"1938","MacNeil Playground Public Restroom","1283770","current","Q009","10","31","East of paved path running north from 119th Street","Q009-ZN02","Q-07","Q009-ZN02-BLG0409",FALSE,"Active",,,,"MultiPolygon","[[[[-73.8514,40.7935],[-73.8513,40.7935],[-73.8513,40.7935],[-73.8513,40.7935],[-73.8514,40.7936],[-73.8514,40.7935],[-73.8514,40.7935],[-73.8514,40.7935],[-73.8514,40.7935]]]]"
,"2027700001","2109480","X",FALSE,"2005","Small","1289056","current","X336","10","0",,"X336","X-02","X336-BLG6119",FALSE,"Active",,,,"MultiPolygon","[[[[-73.8811,40.8176],[-73.8811,40.8177],[-73.8811,40.8177],[-73.8811,40.8177],[-73.8811,40.8177],[-73.8811,40.8177],[-73.8811,40.8177],[-73.8812,40.8177],[-73.8812,40.8177],[-73.8812,40.8177],[-73.8812,40.8177],[-73.8812,40.8177],[-73.8812,40.8177],[-73.8812,40.8176],[-73.8812,40.8176],[-73.8812,40.8176],[-73.8812,40.8176],[-73.8811,40.8176],[-73.8811,40.8176],[-73.8811,40.8176],[-73.8811,40.8176]]]]"
,"4028050031","4062889","Q",TRUE,"2013","Queens Vietnam Veterans Memorial Public Restroom","1283769","current","Q492","87","16","79th St. & Grand Ave.","Q492","Q-04","Q492-BLG6076",FALSE,"Active",,,,"MultiPolygon","[[[[-73.885,40.7305],[-73.8851,40.7306],[-73.8851,40.7306],[-73.8851,40.7306],[-73.8851,40.7306],[-73.8851,40.7306],[-73.8852,40.7306],[-73.8852,40.7306],[-73.8852,40.7306],[-73.8852,40.7306],[-73.8852,40.7305],[-73.8852,40.7305],[-73.8852,40.7305],[-73.8852,40.7305],[-73.8851,40.7305],[-73.8851,40.7305],[-73.8851,40.7305],[-73.8851,40.7305],[-73.8851,40.7305],[-73.8851,40.7305],[-73.885,40.7305],[-73.885,40.7305],[-73.885,40.7305],[-73.885,40.7305],[-73.885,40.7305],[-73.885,40.7305]]]]"
,"2028140100","2129458","X",FALSE,,"Julius Richman Park-Building","1289204","current","X017","80","0",,"X017","X-05","X017-BLG0825",FALSE,"Active",,,,"MultiPolygon","[[[[-73.9021,40.8489],[-73.9021,40.8489],[-73.9021,40.8488],[-73.902,40.8488],[-73.902,40.8488],[-73.902,40.8488],[-73.902,40.8489],[-73.902,40.8489],[-73.9021,40.8489]]]]"
"2022","2026250001","2128990","X",TRUE,"1971","Grove Hill Playground Public Restroom","1283766","current","X235","69","11","East 158 Street, Caldwell Avenue, Eagle Avenue","X235","X-01","X235-BLG0757",FALSE,"Active",,,,"MultiPolygon","[[[[-73.9085,40.82],[-73.9085,40.82],[-73.9085,40.82],[-73.9085,40.82],[-73.9086,40.82],[-73.9086,40.8199],[-73.9086,40.8199],[-73.9086,40.8199],[-73.9086,40.8199],[-73.9086,40.8199],[-73.9086,40.8199],[-73.9086,40.8199],[-73.9086,40.8199],[-73.9086,40.8199],[-73.9086,40.8199],[-73.9086,40.8199],[-73.9086,40.8199],[-73.9085,40.8199],[-73.9085,40.8199],[-73.9085,40.8199],[-73.9085,40.8199],[-73.9085,40.8199],[-73.9085,40.8199],[-73.9085,40.8199],[-73.9085,40.8199],[-73.9085,40.8199],[-73.9085,40.8199],[-73.9085,40.8199],[-73.9085,40.8199],[-73.9085,40.8199],[-73.9085,40.8199],[-73.9085,40.8199],[-73.9085,40.8199],[-73.9085,40.8199],[-73.9085,40.8199],[-73.9085,40.82],[-73.9085,40.82],[-73.9085,40.82],[-73.9085,40.82],[-73.9085,40.82],[-73.9085,40.82]]]]"
