"trackerid","fmsid","title","summary","currentphase","designpercentcomplete","procurementpercentcomplete","constructionpercentcomplete","designstart","designprojectedcompletion","designadjustedcompletion","designactualcompletion","procurementstart","procurementprojectedcompletion","totalfunding","projectliaison","lastupdated","fundingsource","name","parkid","latitude","longitude","borough","procurementactualcompletion","constructionstart","constructionprojectedcom","constructionadjustedcompletion","constructionactualcompletion","procurementadjustedcompletion"
"5055","846 P-6POOL11","Citywide Pool Structural Systems Reconstruction (CNYG-1011M)","This project will reconstruct deteriorated structural systems at park and pool facilities citywide.","completed","100.0","100.0","100.0","2011-01-01T00:00:00.000",,,"2011-03-01T00:00:00.000","2011-03-01T00:00:00.000","2011-11-01T00:00:00.000","$2,419,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","West 155th & Dyckman Streets, Edgecombe & Amsterdam Avenues","M037","40.842495","-73.933588","Manhattan, Queens, Bronx, Brooklyn","2013-08-01T00:00:00.000","2013-09-01T00:00:00.000","2016-09-01T00:00:00.000","2017-06-01T00:00:00.000","2017-06-01T00:00:00.000",
"5055","846 P-6POOL11","Citywide Pool Structural Systems Reconstruction (CNYG-1011M)","This project will reconstruct deteriorated structural systems at park and pool facilities citywide.","completed","100.0","100.0","100.0","2011-01-01T00:00:00.000",,,"2011-03-01T00:00:00.000","2011-03-01T00:00:00.000","2011-11-01T00:00:00.000","$2,419,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","85 Bradhurst Avenue","M014","40.82447","-73.942483","Manhattan, Queens, Bronx, Brooklyn","2013-08-01T00:00:00.000","2013-09-01T00:00:00.000","2016-09-01T00:00:00.000","2017-06-01T00:00:00.000","2017-06-01T00:00:00.000",
"5055","846 P-6POOL11","Citywide Pool Structural Systems Reconstruction (CNYG-1011M)","This project will reconstruct deteriorated structural systems at park and pool facilities citywide.","completed","100.0","100.0","100.0","2011-01-01T00:00:00.000",,,"2011-03-01T00:00:00.000","2011-03-01T00:00:00.000","2011-11-01T00:00:00.000","$2,419,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","Marcy Av & Kosciuszko St, Dekalb & Nostrand","B351","40.691157","-73.949889","Manhattan, Queens, Bronx, Brooklyn","2013-08-01T00:00:00.000","2013-09-01T00:00:00.000","2016-09-01T00:00:00.000","2017-06-01T00:00:00.000","2017-06-01T00:00:00.000",
"5055","846 P-6POOL11","Citywide Pool Structural Systems Reconstruction (CNYG-1011M)","This project will reconstruct deteriorated structural systems at park and pool facilities citywide.","completed","100.0","100.0","100.0","2011-01-01T00:00:00.000",,,"2011-03-01T00:00:00.000","2011-03-01T00:00:00.000","2011-11-01T00:00:00.000","$2,419,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","Madison Ave, E. 120 St. to E. 124 St.","M058","40.805316","-73.94334","Manhattan, Queens, Bronx, Brooklyn","2013-08-01T00:00:00.000","2013-09-01T00:00:00.000","2016-09-01T00:00:00.000","2017-06-01T00:00:00.000","2017-06-01T00:00:00.000",
"5055","846 P-6POOL11","Citywide Pool Structural Systems Reconstruction (CNYG-1011M)","This project will reconstruct deteriorated structural systems at park and pool facilities citywide.","completed","100.0","100.0","100.0","2011-01-01T00:00:00.000",,,"2011-03-01T00:00:00.000","2011-03-01T00:00:00.000","2011-11-01T00:00:00.000","$2,419,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","Bedford Avenue between Metropolitan Avenue and North 1st Street","B085","40.715008","-73.960292","Manhattan, Queens, Bronx, Brooklyn","2013-08-01T00:00:00.000","2013-09-01T00:00:00.000","2016-09-01T00:00:00.000","2017-06-01T00:00:00.000","2017-06-01T00:00:00.000",
"5055","846 P-6POOL11","Citywide Pool Structural Systems Reconstruction (CNYG-1011M)","This project will reconstruct deteriorated structural systems at park and pool facilities citywide.","completed","100.0","100.0","100.0","2011-01-01T00:00:00.000",,,"2011-03-01T00:00:00.000","2011-03-01T00:00:00.000","2011-11-01T00:00:00.000","$2,419,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","Lorraine, Clinton, Henry Streets","B126","40.672703","-74.003881","Manhattan, Queens, Bronx, Brooklyn","2013-08-01T00:00:00.000","2013-09-01T00:00:00.000","2016-09-01T00:00:00.000","2017-06-01T00:00:00.000","2017-06-01T00:00:00.000",
"5055","846 P-6POOL11","Citywide Pool Structural Systems Reconstruction (CNYG-1011M)","This project will reconstruct deteriorated structural systems at park and pool facilities citywide.","completed","100.0","100.0","100.0","2011-01-01T00:00:00.000",,,"2011-03-01T00:00:00.000","2011-03-01T00:00:00.000","2011-11-01T00:00:00.000","$2,419,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","Troy Avenue, Bergen Street, Prospect Place, Schenectady Avenue","B245","40.673933","-73.93486","Manhattan, Queens, Bronx, Brooklyn","2013-08-01T00:00:00.000","2013-09-01T00:00:00.000","2016-09-01T00:00:00.000","2017-06-01T00:00:00.000","2017-06-01T00:00:00.000",
"5055","846 P-6POOL11","Citywide Pool Structural Systems Reconstruction (CNYG-1011M)","This project will reconstruct deteriorated structural systems at park and pool facilities citywide.","completed","100.0","100.0","100.0","2011-01-01T00:00:00.000",,,"2011-03-01T00:00:00.000","2011-03-01T00:00:00.000","2011-11-01T00:00:00.000","$2,419,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","St. Mary's Street, St. Ann's Avenue, East 149 Street, Jackson Avenue","X045","40.812653","-73.913136","Manhattan, Queens, Bronx, Brooklyn","2013-08-01T00:00:00.000","2013-09-01T00:00:00.000","2016-09-01T00:00:00.000","2017-06-01T00:00:00.000","2017-06-01T00:00:00.000",
"5055","846 P-6POOL11","Citywide Pool Structural Systems Reconstruction (CNYG-1011M)","This project will reconstruct deteriorated structural systems at park and pool facilities citywide.","completed","100.0","100.0","100.0","2011-01-01T00:00:00.000",,,"2011-03-01T00:00:00.000","2011-03-01T00:00:00.000","2011-11-01T00:00:00.000","$2,419,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","41 Street, 44 Street, between 5 Avenue and 7 Avenue","B087","40.648171","-74.003881","Manhattan, Queens, Bronx, Brooklyn","2013-08-01T00:00:00.000","2013-09-01T00:00:00.000","2016-09-01T00:00:00.000","2017-06-01T00:00:00.000","2017-06-01T00:00:00.000",
"5055","846 P-6POOL11","Citywide Pool Structural Systems Reconstruction (CNYG-1011M)","This project will reconstruct deteriorated structural systems at park and pool facilities citywide.","completed","100.0","100.0","100.0","2011-01-01T00:00:00.000",,,"2011-03-01T00:00:00.000","2011-03-01T00:00:00.000","2011-11-01T00:00:00.000","$2,419,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","E. 124 St. Bet 1 Ave. and 2 Ave.","M273","40.801956","-73.933281","Manhattan, Queens, Bronx, Brooklyn","2013-08-01T00:00:00.000","2013-09-01T00:00:00.000","2016-09-01T00:00:00.000","2017-06-01T00:00:00.000","2017-06-01T00:00:00.000",
