ntaname,share_revealed_draws,share_any_weights,revealed_by_pilots,equal_law_factors,footfall_heavy,transit_heavy,equity_heavy,access_heavy,no_population,named_count,stability
Harlem (North),0.0005,0.113,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Highbridge Park,0.0005,0.0995,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
West Farms,0.0005,0.088,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,weak
Coney Island-Sea Gate,0.0005,0.0555,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Soundview Park,0.0005,0.034,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Alley Pond Park,0.0005,0.0335,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Great Kills-Eltingville,0.0005,0.022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Rego Park,0.0005,0.018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Melrose,0,0.106,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Soundview-Bruckner-Bronx River,0,0.0835,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Belmont,0,0.0565,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Morrisania,0,0.0335,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Rockaway Beach-Arverne-Edgemere,0,0.0255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Lower East Side,0,0.0245,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Springfield Gardens (South)-Brookville,0,0.019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Rockaway Community Park,0,0.0175,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Brownsville,0,0.015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Spring Creek-Starrett City,0,0.0135,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Mariner's Harbor-Arlington-Graniteville,0,0.013,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
