ntaname,type,lon,lat,residents,subway,jobs,dist_2pm_m,dist_9pm_m,poverty,borough,demand_pct,gap_type,n_broken,n_day_only,n_day_only_park,broken_names,day_names,first_action,order,stable_weights,stable_settings
Coney Island-Sea Gate,park,-73.96355,40.57474,10234,3242354,2351,81,1677,0.601,Brooklyn,68,evening-only,1,3,2,Coney Island Beach Zone 1b (PIP B169-ZN01B),"Coney Island Beach Zone 2a; Coney Island Beach Zone 2b; Brighton Beach Library, BPL",Repair or reopen nearby,60,0.99,0.5
Melrose,busy_street,-73.91772,40.81608,17854,4326279,15616,376,2562,0.543,Bronx,86,evening-only,0,1,1,"",Clark Playground,Keep a nearby park restroom open later,61,1,0.67
Morningside Heights,park,-73.95987,40.80167,25947,1872944,5161,253,1020,0.34,Manhattan,78,evening-only,0,2,2,"",The Great Hill; Anibal Aviles Playground,Keep a nearby park restroom open later,62,1,0.67
Kingsbridge-Marble Hill,busy_street,-73.90633,40.87695,20182,3075104,3922,156,2828,0.186,Bronx,75,evening-only,0,2,1,"","Marble Hill Playground; Kingsbridge Library, NYPL",Keep a nearby park restroom open later,63,1,0.67
Dyker Heights,park,-74.01316,40.63148,10063,2951046,3843,23,4162,0.226,Brooklyn,74,evening-only,0,2,1,"","Leif Ericson Park Playground; McKinley Park Library, BPL",Keep a nearby park restroom open later,64,1,0.67
Jackson Heights,busy_street,-73.8716,40.74893,25582,11461377,3309,761,1972,0.296,Queens,76,all-day,0,0,0,"","",Build a new unit,65,1,1
Concourse-Concourse Village,busy_street,-73.91754,40.82528,25453,0,5201,145,1694,0.302,Bronx,67,evening-only,1,3,2,Railroad Park,"Arcilla Playground; Yolanda García Park; Melrose Library, NYPL",Repair or reopen nearby,66,0.8,0.5
Norwood,park,-73.87797,40.87725,21425,1399996,6897,84,2002,0.225,Bronx,73,evening-only,1,2,1,Mosholu Parkway Zone 2 (PIP X033-ZN02),"Williamsbridge Oval; Mosholu Library, NYPL",Repair or reopen nearby,67,1,0.67
Washington Heights (South),park,-73.94561,40.84624,7118,0,2131,119,1944,0.2,Manhattan,48,evening-only,0,2,2,"",Fort Washington Park Zone 2A; J. Hood Wright Park,Keep a nearby park restroom open later,68,1,0.67
Van Cortlandt Park,park,-73.88507,40.88401,7025,1494474,11533,295,1231,0.305,Bronx,66,evening-only,0,3,2,"",Sachkerah Woods Playground; Van Cortlandt Classic Playground; Mosholu Golf Course,Keep a nearby park restroom open later,69,0.99,0.44
